tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magic_software_packages	magn_moment	measurement	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	method_codes	number	quality	specimen	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study		2.1	344.5	-75.4	AP1-2a:LP-DIR-T	hargrave 2016-05-02 19:39:14	Agate Point	pmagpy-3.4.1	9.37e-06	AP1-2a:LP-DIR-T10	1	3.06e-07	1.78e-07	1.42e-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-2a	0	0	0	-90	773
This study		2.0	344.7	-75.2	AP1-2a:LP-DIR-T	hargrave 2016-05-03 18:32:12	Agate Point	pmagpy-3.4.1	8.37e-06	AP1-2a:LP-DIR-T11	1	2.3600000000000002e-07	1.87e-07	1.11e-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-2a	0	0	0	-90	798
This study		2.4	345.7	-75.6	AP1-2a:LP-DIR-T	hargrave 2016-05-12 14:12:45	Agate Point	pmagpy-3.4.1	7.03e-06	AP1-2a:LP-DIR-T12	1	1.8800000000000002e-07	2.37e-07	1.0199999999999999e-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-2a	0	0	0	-90	823
This study		2.0	340.5	-75.8	AP1-2a:LP-DIR-T	hargrave 2016-05-16 11:53:32	Agate Point	pmagpy-3.4.1	5.84e-06	AP1-2a:LP-DIR-T13	1	1.72e-07	1.1599999999999999e-07	7.98e-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-2a	0	0	0	-90	833
This study		2.3	341.3	-75.5	AP1-2a:LP-DIR-T	hargrave 2016-05-16 17:54:08	Agate Point	pmagpy-3.4.1	4.74e-06	AP1-2a:LP-DIR-T14	1	1.7600000000000001e-07	8.849999999999999e-08	6.950000000000001e-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-2a	0	0	0	-90	843
This study		1.8	340.0	-75.5	AP1-2a:LP-DIR-T	hargrave 2016-05-17 14:11:17	Agate Point	pmagpy-3.4.1	4e-06	AP1-2a:LP-DIR-T15	1	1.04e-07	7.45e-08	5.31e-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-2a	0	0	0	-90	848
This study		1.6	342.9	-75.2	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	Agate Point	pmagpy-3.4.1	3.49e-06	AP1-2a:LP-DIR-T16	1	7.37e-08	6.79e-08	4.0999999999999997e-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-2a	0	0	0	-90	853
This study		2.4	308.1	-58.7	AP1-3a:LP-DIR-T	hargrave 2016-04-08 16:17:08	Agate Point	pmagpy-3.4.1	2.15e-05	AP1-3a:LP-DIR-T1	1	8.41e-07	3.08e-07	2.4e-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-3a	0	0	0	-90	273
This study		2.0	309.8	-58.8	AP1-3a:LP-DIR-T	hargrave 2016-04-11 16:34:53	Agate Point	pmagpy-3.4.1	2.09e-05	AP1-3a:LP-DIR-T2	1	6.74e-07	2.56e-07	2.3100000000000002e-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-3a	0	0	0	-90	77
This study		2.7	309.4	-58.8	AP1-3a:LP-DIR-T	hargrave 2016-04-18 09:21:55	Agate Point	pmagpy-3.4.1	2.11e-05	AP1-3a:LP-DIR-T3	1	8.94e-07	3.64e-07	2.2e-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-3a	0	0	0	-90	373
This study		1.9	311.8	-59.2	AP1-3a:LP-DIR-T	hargrave 2016-04-18 16:37:20	Agate Point	pmagpy-3.4.1	2.17e-05	AP1-3a:LP-DIR-T4	1	6.38e-07	2.68e-07	2.39e-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-3a	0	0	0	-90	473
This study		2.6	313.6	-59.7	AP1-3a:LP-DIR-T	hargrave 2016-04-19 12:24:35	Agate Point	pmagpy-3.4.1	1.9399999999999997e-05	AP1-3a:LP-DIR-T5	1	8.1e-07	2.77e-07	2.4399999999999996e-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-3a	0	0	0	-90	573
This study		2.2	313.7	-59.7	AP1-3a:LP-DIR-T	hargrave 2016-04-25 11:59:25	Agate Point	pmagpy-3.4.1	1.36e-05	AP1-3a:LP-DIR-T6	1	4.53e-07	2.17e-07	1.91e-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-3a	0	0	0	-90	623
This study		3.5	314.4	-59.9	AP1-3a:LP-DIR-T	hargrave 2016-04-26 08:54:39	Agate Point	pmagpy-3.4.1	1.21e-05	AP1-3a:LP-DIR-T7	1	6.3e-07	3.96e-07	1.53e-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-3a	0	0	0	-90	673
This study		2.5	312.8	-59.7	AP1-3a:LP-DIR-T	hargrave 2016-04-26 16:23:34	Agate Point	pmagpy-3.4.1	1.1e-05	AP1-3a:LP-DIR-T8	1	4.11e-07	2.3100000000000002e-07	1.35e-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-3a	0	0	0	-90	723
This study		1.6	316.0	-60.2	AP1-3a:LP-DIR-T	hargrave 2016-05-02 13:17:50	Agate Point	pmagpy-3.4.1	1.0199999999999999e-05	AP1-3a:LP-DIR-T9	1	1.7600000000000001e-07	2.1100000000000002e-07	1.06e-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-3a	0	0	0	-90	748
This study		1.9	315.7	-59.9	AP1-3a:LP-DIR-T	hargrave 2016-05-02 19:40:49	Agate Point	pmagpy-3.4.1	9.42e-06	AP1-3a:LP-DIR-T10	1	2.7600000000000004e-07	1.34e-07	1.31e-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-3a	0	0	0	-90	773
This study		1.6	316.6	-60.0	AP1-3a:LP-DIR-T	hargrave 2016-05-03 18:33:51	Agate Point	pmagpy-3.4.1	8.43e-06	AP1-3a:LP-DIR-T11	1	1.71e-07	1.53e-07	9.69e-08	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-3a	0	0	0	-90	798
This study		2.0	315.8	-60.1	AP1-3a:LP-DIR-T	hargrave 2016-05-12 14:14:20	Agate Point	pmagpy-3.4.1	7.07e-06	AP1-3a:LP-DIR-T12	1	2.19e-07	1.05e-07	9.49e-08	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-3a	0	0	0	-90	823
This study		2.0	315.9	-60.0	AP1-3a:LP-DIR-T	hargrave 2016-05-16 11:55:07	Agate Point	pmagpy-3.4.1	5.97e-06	AP1-3a:LP-DIR-T13	1	1.7699999999999998e-07	8.730000000000001e-08	8.310000000000001e-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-3a	0	0	0	-90	833
This study		2.8	314.8	-60.0	AP1-3a:LP-DIR-T	hargrave 2016-05-16 17:55:43	Agate Point	pmagpy-3.4.1	5.02e-06	AP1-3a:LP-DIR-T14	1	2.1300000000000001e-07	1.11e-07	6.47e-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-3a	0	0	0	-90	843
This study		2.8	315.3	-59.9	AP1-3a:LP-DIR-T	hargrave 2016-05-17 14:12:51	Agate Point	pmagpy-3.4.1	4.36e-06	AP1-3a:LP-DIR-T15	1	1.8899999999999999e-07	1.0099999999999999e-07	5.68e-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-3a	0	0	0	-90	848
This study		2.1	317.1	-60.1	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	Agate Point	pmagpy-3.4.1	3.96e-06	AP1-3a:LP-DIR-T16	1	1.33e-07	6.18e-08	4.79e-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-3a	0	0	0	-90	853
This study		1.5	246.6	-78.2	AP1-4a:LP-DIR-T	hargrave 2016-04-08 16:18:40	Agate Point	pmagpy-3.4.1	2.98e-05	AP1-4a:LP-DIR-T1	1	5.23e-07	5.839999999999999e-07	2.77e-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-4a	0	0	0	-90	273
This study		1.5	247.7	-78.2	AP1-4a:LP-DIR-T	hargrave 2016-04-11 16:36:24	Agate Point	pmagpy-3.4.1	2.8800000000000002e-05	AP1-4a:LP-DIR-T2	1	4.93e-07	5.83e-07	2.37e-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-4a	0	0	0	-90	77
This study		1.4	247.4	-78.0	AP1-4a:LP-DIR-T	hargrave 2016-04-18 09:23:09	Agate Point	pmagpy-3.4.1	2.8899999999999998e-05	AP1-4a:LP-DIR-T3	1	4.79e-07	5.2e-07	2.7e-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-4a	0	0	0	-90	373
This study		1.3	254.1	-78.4	AP1-4a:LP-DIR-T	hargrave 2016-04-18 16:38:34	Agate Point	pmagpy-3.4.1	2.9600000000000005e-05	AP1-4a:LP-DIR-T4	1	4.29e-07	4.7e-07	2.8e-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-4a	0	0	0	-90	473
This study		1.4	258.3	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-04-19 12:25:49	Agate Point	pmagpy-3.4.1	2.6600000000000003e-05	AP1-4a:LP-DIR-T5	1	4.48e-07	4.78e-07	2.16e-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-4a	0	0	0	-90	573
This study		1.8	257.8	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-04-25 12:00:57	Agate Point	pmagpy-3.4.1	1.86e-05	AP1-4a:LP-DIR-T6	1	4.42e-07	3.97e-07	2.7800000000000003e-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-4a	0	0	0	-90	623
This study		1.7	257.8	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-04-26 08:56:11	Agate Point	pmagpy-3.4.1	1.6800000000000002e-05	AP1-4a:LP-DIR-T7	1	3.6e-07	3.32e-07	2.55e-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-4a	0	0	0	-90	673
This study		1.8	258.2	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-04-26 16:25:08	Agate Point	pmagpy-3.4.1	1.5399999999999998e-05	AP1-4a:LP-DIR-T8	1	3.46e-07	3.11e-07	2.23e-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-4a	0	0	0	-90	723
This study		1.6	259.4	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-05-02 13:19:22	Agate Point	pmagpy-3.4.1	1.42e-05	AP1-4a:LP-DIR-T9	1	2.82e-07	2.66e-07	1.2e-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-4a	0	0	0	-90	748
This study		1.7	261.1	-78.6	AP1-4a:LP-DIR-T	hargrave 2016-05-02 19:42:20	Agate Point	pmagpy-3.4.1	1.32e-05	AP1-4a:LP-DIR-T10	1	2.64e-07	2.65e-07	1.65e-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-4a	0	0	0	-90	773
This study		1.6	263.8	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-05-03 18:35:27	Agate Point	pmagpy-3.4.1	1.18e-05	AP1-4a:LP-DIR-T11	1	2.26e-07	2.3e-07	1.43e-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-4a	0	0	0	-90	798
This study		1.6	259.2	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-05-12 14:15:52	Agate Point	pmagpy-3.4.1	9.9e-06	AP1-4a:LP-DIR-T12	1	1.93e-07	1.7899999999999997e-07	1.47e-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-4a	0	0	0	-90	823
This study		1.6	260.8	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-05-16 11:56:43	Agate Point	pmagpy-3.4.1	8.14e-06	AP1-4a:LP-DIR-T13	1	1.65e-07	1.55e-07	1.08e-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-4a	0	0	0	-90	833
This study		1.7	259.6	-78.4	AP1-4a:LP-DIR-T	hargrave 2016-05-16 17:57:15	Agate Point	pmagpy-3.4.1	6.53e-06	AP1-4a:LP-DIR-T14	1	1.53e-07	1.24e-07	9.449999999999999e-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-4a	0	0	0	-90	843
This study		1.7	259.9	-78.4	AP1-4a:LP-DIR-T	hargrave 2016-05-17 14:14:23	Agate Point	pmagpy-3.4.1	5.44e-06	AP1-4a:LP-DIR-T15	1	1.2199999999999998e-07	1.04e-07	7.76e-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-4a	0	0	0	-90	848
This study		1.6	262.4	-78.3	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	Agate Point	pmagpy-3.4.1	4.83e-06	AP1-4a:LP-DIR-T16	1	9.619999999999999e-08	8.880000000000001e-08	5.94e-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-4a	0	0	0	-90	853
This study		1.9	309.6	-42.8	AP1-5a:LP-DIR-T	hargrave 2016-04-08 16:20:12	Agate Point	pmagpy-3.4.1	3.8299999999999996e-05	AP1-5a:LP-DIR-T1	1	6.28e-07	9.1e-07	6.7e-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-5a	0	0	0	-90	273
This study		3.4	309.9	-42.8	AP1-5a:LP-DIR-T	hargrave 2016-04-11 16:37:55	Agate Point	pmagpy-3.4.1	3.66e-05	AP1-5a:LP-DIR-T2	1	1.36e-06	1.6e-06	7.51e-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-5a	0	0	0	-90	77
This study		1.7	312.9	-43.1	AP1-5a:LP-DIR-T	hargrave 2016-04-18 09:24:22	Agate Point	pmagpy-3.4.1	3.65e-05	AP1-5a:LP-DIR-T3	1	6.27e-07	5.44e-07	7.77e-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-5a	0	0	0	-90	373
This study		1.8	315.8	-43.6	AP1-5a:LP-DIR-T	hargrave 2016-04-18 16:39:47	Agate Point	pmagpy-3.4.1	3.7e-05	AP1-5a:LP-DIR-T4	1	5.44e-07	7.159999999999999e-07	7.96e-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-5a	0	0	0	-90	473
This study		1.8	316.1	-43.5	AP1-5a:LP-DIR-T	hargrave 2016-04-19 12:27:02	Agate Point	pmagpy-3.4.1	3.4399999999999996e-05	AP1-5a:LP-DIR-T5	1	4.2700000000000005e-07	7.11e-07	7.68e-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-5a	0	0	0	-90	573
This study		2.1	315.0	-43.4	AP1-5a:LP-DIR-T	hargrave 2016-04-25 12:02:29	Agate Point	pmagpy-3.4.1	2.27e-05	AP1-5a:LP-DIR-T6	1	3.96e-07	5.55e-07	5.55e-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-5a	0	0	0	-90	623
This study		2.4	318.8	-44.0	AP1-5a:LP-DIR-T	hargrave 2016-04-26 08:57:43	Agate Point	pmagpy-3.4.1	1.83e-05	AP1-5a:LP-DIR-T7	1	5.99e-07	3.16e-07	3.9e-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-5a	0	0	0	-90	673
This study		3.5	314.7	-43.3	AP1-5a:LP-DIR-T	hargrave 2016-04-26 16:27:32	Agate Point	pmagpy-3.4.1	1.4599999999999999e-05	AP1-5a:LP-DIR-T8	1	4.56e-07	6.93e-07	3.48e-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-5a	0	0	0	-90	723
This study		2.2	315.3	-43.6	AP1-5a:LP-DIR-T	hargrave 2016-05-02 13:20:53	Agate Point	pmagpy-3.4.1	1.22e-05	AP1-5a:LP-DIR-T9	1	3.2299999999999997e-07	1.67e-07	3.13e-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-5a	0	0	0	-90	748
This study		2.1	318.2	-43.7	AP1-5a:LP-DIR-T	hargrave 2016-05-02 19:43:57	Agate Point	pmagpy-3.4.1	1.07e-05	AP1-5a:LP-DIR-T10	1	2.98e-07	1.55e-07	2.28e-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-5a	0	0	0	-90	773
This study		2.1	318.6	-43.8	AP1-5a:LP-DIR-T	hargrave 2016-05-03 18:36:58	Agate Point	pmagpy-3.4.1	9.1e-06	AP1-5a:LP-DIR-T11	1	2.58e-07	1.26e-07	1.8800000000000002e-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-5a	0	0	0	-90	798
This study		1.9	316.9	-43.6	AP1-5a:LP-DIR-T	hargrave 2016-05-12 14:17:24	Agate Point	pmagpy-3.4.1	7.27e-06	AP1-5a:LP-DIR-T12	1	1.28e-07	1.4599999999999998e-07	1.68e-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-5a	0	0	0	-90	823
This study		1.9	317.0	-43.8	AP1-5a:LP-DIR-T	hargrave 2016-05-16 11:58:15	Agate Point	pmagpy-3.4.1	5.41e-06	AP1-5a:LP-DIR-T13	1	1.1e-07	8.26e-08	1.23e-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-5a	0	0	0	-90	833
This study		1.9	313.8	-43.8	AP1-5a:LP-DIR-T	hargrave 2016-05-16 17:58:47	Agate Point	pmagpy-3.4.1	3.55e-06	AP1-5a:LP-DIR-T14	1	6.25e-08	7.68e-08	7.85e-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-5a	0	0	0	-90	843
This study		2.5	316.6	-44.8	AP1-5a:LP-DIR-T	hargrave 2016-05-17 14:15:54	Agate Point	pmagpy-3.4.1	2.56e-06	AP1-5a:LP-DIR-T15	1	5.34e-08	8.5e-08	5.83e-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-5a	0	0	0	-90	848
This study		2.0	315.6	-44.2	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	Agate Point	pmagpy-3.4.1	2.16e-06	AP1-5a:LP-DIR-T16	1	3.86e-08	5.42e-08	4.36e-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-5a	0	0	0	-90	853
This study		3.1	316.2	-43.0	AP1-6a:LP-DIR-T	hargrave 2016-04-08 16:21:48	Agate Point	pmagpy-3.4.1	5.94e-05	AP1-6a:LP-DIR-T1	1	2.51e-06	2.03e-06	6.41e-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-6a	0	0	0	-90	273
This study		3.8	315.2	-43.1	AP1-6a:LP-DIR-T	hargrave 2016-04-11 16:39:31	Agate Point	pmagpy-3.4.1	5.7600000000000004e-05	AP1-6a:LP-DIR-T2	1	2.69e-06	2.66e-06	5.079999999999999e-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-6a	0	0	0	-90	77
This study		2.8	315.8	-42.9	AP1-6a:LP-DIR-T	hargrave 2016-04-18 09:25:40	Agate Point	pmagpy-3.4.1	5.7600000000000004e-05	AP1-6a:LP-DIR-T3	1	2.19e-06	1.71e-06	5.72e-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-6a	0	0	0	-90	373
This study		1.9	317.2	-42.8	AP1-6a:LP-DIR-T	hargrave 2016-04-18 16:41:04	Agate Point	pmagpy-3.4.1	5.9e-05	AP1-6a:LP-DIR-T4	1	1.62e-06	1.14e-06	6.079999999999999e-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-6a	0	0	0	-90	473
