tab	specimens																								
specimen	sample	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
AP4-3a	AP4-3		mag	335.2	5.8	1	10	-1	3.2	2				853	673	K		hargrave 2016-05-18 11:47:09	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-3a	AP4-3		mag	106	-62.1	1	10	0	3.2	2				853	673	K		hargrave 2016-05-18 11:47:09	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-3a	AP4-3		mag	80.3	-67.3	1	10	100	3.2	2				853	673	K		hargrave 2016-05-18 11:47:09	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-4a	AP4-4		mag	349.9	-4.5	1	10	-1	1.8	2.7				853	673	K		hargrave 2016-05-18 11:48:41	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-4a	AP4-4		mag	106.4	-66.5	1	10	0	1.8	2.7				853	673	K		hargrave 2016-05-18 11:48:41	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-4a	AP4-4		mag	74.4	-71.1	1	10	100	1.8	2.7				853	673	K		hargrave 2016-05-18 11:48:41	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-5a	AP4-5		mag	345.8	3.7	1	10	-1	4.6	14				853	673	K		hargrave 2016-05-18 11:50:16	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-5a	AP4-5		mag	103.1	-60.8	1	10	0	4.6	14				853	673	K		hargrave 2016-05-18 11:50:16	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-5a	AP4-5		mag	78.8	-65.5	1	10	100	4.6	14				853	673	K		hargrave 2016-05-18 11:50:16	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-6a	AP4-6		mag	350.4	13.2	1	10	-1	1.2	2				853	673	K		hargrave 2016-05-18 11:52:09	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-6a	AP4-6		mag	122.3	-58.4	1	10	0	1.2	2				853	673	K		hargrave 2016-05-18 11:52:09	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-6a	AP4-6		mag	103.5	-67.3	1	10	100	1.2	2				853	673	K		hargrave 2016-05-18 11:52:09	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-7a	AP4-7		mag	111.5	-64.7	1	10	100	0.9	1.5				853	673	K		hargrave 2016-05-18 11:55:06	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP4-7a	AP4-7		mag	126.4	-54.9	1	10	0	0.9	1.5				853	673	K		hargrave 2016-05-18 11:55:06	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-7a	AP4-7		mag	357	20	1	10	-1	0.9	1.5				853	673	K		hargrave 2016-05-18 11:55:06	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-8a	AP4-8		mag	333.8	14.3	1	10	-1	1	0.8				853	673	K		hargrave 2016-05-18 11:56:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP4-8a	AP4-8		mag	125.1	-62.9	1	10	0	1	0.8				853	673	K		hargrave 2016-05-18 11:56:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP4-8a	AP4-8		mag	102.1	-72	1	10	100	1	0.8				853	673	K		hargrave 2016-05-18 11:56:40	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-1a	AP5-1		mag	3.2	-33.5	1	10	-1	14.2	9.8				853	673	K		hargrave 2016-05-18 11:58:10	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-1a	AP5-1		mag	87.1	-57.3	1	10	0	14.2	9.8				853	673	K		hargrave 2016-05-18 11:58:10	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-1a	AP5-1		mag	66.2	-58.8	1	10	100	14.2	9.8				853	673	K		hargrave 2016-05-18 11:58:10	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-2a	AP5-2		mag	341.2	-22.5	1	10	-1	1.5	2.8				853	673	K		hargrave 2016-05-18 11:59:37	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-2a	AP5-2		mag	99.8	-72.5	1	10	0	1.5	2.8				853	673	K		hargrave 2016-05-18 11:59:37	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-2a	AP5-2		mag	55.4	-74.2	1	10	100	1.5	2.8				853	673	K		hargrave 2016-05-18 11:59:37	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-3a	AP5-3		mag	61	-74.4	1	10	100	1.1	0.6				853	673	K		hargrave 2016-05-18 12:01:03	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-3a	AP5-3		mag	103.6	-71.5	1	10	0	1.1	0.6				853	673	K		hargrave 2016-05-18 12:01:03	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-3a	AP5-3		mag	113.7	-86.8	1	10	-1	1.1	0.6				853	673	K		hargrave 2016-05-18 12:01:03	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-4a	AP5-4		mag	18.5	-43.4	1	10	-1	1.3	1.5				853	673	K		hargrave 2016-05-18 12:02:30	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-4a	AP5-4		mag	96.6	-74	1	10	0	1.3	1.5				853	673	K		hargrave 2016-05-18 12:02:30	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-4a	AP5-4		mag	48.7	-74.6	1	10	100	1.3	1.5				853	673	K		hargrave 2016-05-18 12:02:30	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-5a	AP5-5		mag	349	-64.1	1	10	-1	7.4	6.8				853	673	K		hargrave 2016-05-18 12:04:00	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-5a	AP5-5		mag	171.3	-84.6	1	10	0	7.4	6.8				853	673	K		hargrave 2016-05-18 12:04:00	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-5a	AP5-5		mag	332.7	-82.2	1	10	100	7.4	6.8				853	673	K		hargrave 2016-05-18 12:04:00	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-6a	AP5-6		mag	47.8	-81.6	1	10	-1	0.7	0.6				853	673	K		hargrave 2016-05-18 12:05:33	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-6a	AP5-6		mag	107.7	-74.4	1	10	0	0.7	0.6				853	673	K		hargrave 2016-05-18 12:05:33	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-6a	AP5-6		mag	55.1	-77.2	1	10	100	0.7	0.6				853	673	K		hargrave 2016-05-18 12:05:33	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-7a	AP5-7		mag	90	-78.9	1	10	0	0.8	2.4				853	673	K		hargrave 2016-05-18 12:08:55	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-7a	AP5-7		mag	29.4	-76.1	1	10	100	0.8	2.4				853	673	K		hargrave 2016-05-18 12:08:55	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AP5-7a	AP5-7		mag	336.9	-68.8	1	10	-1	0.8	2.4				853	673	K		hargrave 2016-05-18 12:08:55	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AP5-8a	AP5-8		mag	117.3	-69.7	1	10	0	1	2.1				853	673	K		hargrave 2016-05-18 12:10:51	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AP5-8a	AP5-8		mag	79	-76.1	1	10	100	1	2.1				853	673	K		hargrave 2016-05-18 12:10:51	pmagpy-4.0.0: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
