tab	samples
sample	site	method_codes	citations	orientation_quality	azimuth	azimuth_dec_correction	dip	bed_dip	bed_dip_direction	height	orientation_flag
GB11-4	GB11	SO-CMD-NORTH	This study	g	87.5	0	-15	9.5	110.7	232.35	g
GB11-5	GB11	SO-CMD-NORTH	This study	g	-9.3	0	-11	9.5	110.7	233.1	g
GB11-7	GB11	SO-CMD-NORTH	This study	g	78.8	0	-89	9.5	110.7	232.8	g
GB11-8	GB11	SO-CMD-NORTH	This study	g	117.6	0	-58	9.5	110.7	232.2	g
GB11-9	GB11	SO-CMD-NORTH	This study	g	-51.4	0	-13	9.5	110.7	232.5	g
GB12-1	GB12	SO-CMD-NORTH	This study	g	-67.8	0	-7	9.5	110.7	233.8	g
GB12-2	GB12	SO-CMD-NORTH	This study	g	3.1	0	-4	9.5	110.7	233.9	g
GB12-3	GB12	SO-CMD-NORTH	This study	g	-16.8	0	-9	9.5	110.7	233.85	g
GB12-4	GB12	SO-CMD-NORTH	This study	g	-17.1	0	-10	9.5	110.7	233.8	g
GB12-5	GB12	SO-CMD-NORTH	This study	g	45.7	0	-12	9.5	110.7	233.85	g
GB12-6	GB12	SO-CMD-NORTH	This study	g	34.6	0	-17	9.5	110.7	233.75	g
GB12-7	GB12	SO-CMD-NORTH	This study	g	34.9	0	-13	9.5	110.7	233.9	g
GB12-8	GB12	SO-CMD-NORTH	This study	g	-88.0	0	-16	9.5	110.7	233.95	g
GB13-1	GB13	SO-CMD-NORTH	This study	g	62.5	0	-64	9.5	110.7	235.1	g
GB13-2	GB13	SO-CMD-NORTH	This study	g	53.5	0	-76	9.5	110.7	235.3	g
GB13-3	GB13	SO-CMD-NORTH	This study	g	58.5	0	-81	9.5	110.7	235.4	g
GB13-4	GB13	SO-CMD-NORTH	This study	g	94.5	0	-78	9.5	110.7	235.5	g
GB13-5	GB13	SO-CMD-NORTH	This study	g	26.5	0	-67	9.5	110.7	235.05	g
GB13-6	GB13	SO-CMD-NORTH	This study	g	31.5	0	-48	9.5	110.7	235.4	g
GB13-7	GB13	SO-CMD-NORTH	This study	g	-21.5	0	-21	9.5	110.7	235.45	g
GB13-8	GB13	SO-CMD-NORTH	This study	g	5.5	0	-53	9.5	110.7	235.6	g
GB14-1	GB14	SO-CMD-NORTH	This study	g	49.0	0	-49	9.5	110.7	236.8	g
GB14-2	GB14	SO-CMD-NORTH	This study	g	-35.2	0	-29	9.5	110.7	237.1	g
GB14-3	GB14	SO-CMD-NORTH	This study	g	24.2	0	-68	9.5	110.7	237.2	g
GB14-4	GB14	SO-CMD-NORTH	This study	g	75.6	0	-12	9.5	110.7	237.05	g
GB14-5	GB14	SO-CMD-NORTH	This study	g	262.2	0	-9	9.5	110.7	237.45	g
GB14-6	GB14	SO-CMD-NORTH	This study	g	-85.4	0	-9	9.5	110.7	237.45	g
GB14-7	GB14	SO-CMD-NORTH	This study	g	-90.5	0	-9	9.5	110.7	237.7	g
GB15-1	GB15	SO-CMD-NORTH	This study	g	139.5	0	-11	9.5	110.7	243.5	g
GB15-2	GB15	SO-CMD-NORTH	This study	g	71.3	0	-11	9.5	110.7	243.9	g
GB15-3	GB15	SO-CMD-NORTH	This study	g	20.5	0	-13	9.5	110.7	244.0	g
GB15-4	GB15	SO-CMD-NORTH	This study	g	35.0	0	-24	9.5	110.7	243.15	g
GB15-5	GB15	SO-CMD-NORTH	This study	g	48.0	0	-26	9.5	110.7	243.25	g
GB15-6	GB15	SO-CMD-NORTH	This study	g	24.5	0	-28	9.5	110.7	243.3	g
GB15-7	GB15	SO-CMD-NORTH	This study	g	-82.3	0	-18	9.5	110.7	243.45	g
GB15-8	GB15	SO-CMD-NORTH	This study	g	178.3	0	-8	9.5	110.7	243.55	g
GB16-1	GB16	SO-CMD-NORTH	This study	g	135.5	0	-13	9.5	110.7	244.3	g
GB16-2	GB16	SO-CMD-NORTH	This study	g	72.7	0	-13	9.5	110.7	244.35	g
GB16-3	GB16	SO-CMD-NORTH	This study	g	72.5	0	-29	9.5	110.7	245.1	g
GB16-4	GB16	SO-CMD-NORTH	This study	g	162.3	0	-8	9.5	110.7	244.75	g
GB16-5	GB16	SO-CMD-NORTH	This study	g	11.3	0	-19	9.5	110.7	244.5	g
GB16-6	GB16	SO-CMD-NORTH	This study	g	66.5	0	-27	9.5	110.7	244.55	g
GB16-7	GB16	SO-CMD-NORTH	This study	g	116.5	0	-28	9.5	110.7	244.5	g
GB16-8	GB16	SO-CMD-NORTH	This study	g	73.1	0	-72	9.5	110.7	244.6	g
GB17-1	GB17	SO-CMD-NORTH	This study	g	256.9	0	-23	9.5	110.7	245.0	g
GB17-2	GB17	SO-CMD-NORTH	This study	g	237.7	0	-21	9.5	110.7	245.0	g
GB17-4	GB17	SO-CMD-NORTH	This study	g	236.5	0	-7	9.5	110.7	245.6	g
GB17-5	GB17	SO-CMD-NORTH	This study	g	115.5	0	-68	9.5	110.7	244.9	g
GB17-6	GB17	SO-CMD-NORTH	This study	g	96.5	0	-98	9.5	110.7	244.8	g
GB17-7	GB17	SO-CMD-NORTH	This study	g	128.5	0	-65	9.5	110.7	244.9	g
GB17-8	GB17	SO-CMD-NORTH	This study	g	109.5	0	-61	9.5	110.7	244.95	g
GB18-2	GB18	SO-CMD-NORTH	This study	g	128.8	0	-61	9.5	110.7	247.4	g
GB18-3	GB18	SO-CMD-NORTH	This study	g	61.6	0	-64	9.5	110.7	247.4	g
GB18-4	GB18	SO-CMD-NORTH	This study	g	82.3	0	-65	9.5	110.7	247.55	g
GB18-5	GB18	SO-CMD-NORTH	This study	g	105.5	0	-80	9.5	110.7	247.9	g
GB18-6	GB18	SO-CMD-NORTH	This study	g	111.2	0	-18	9.5	110.7	248.65	g
GB18-7	GB18	SO-CMD-NORTH	This study	g	99.2	0	-15	9.5	110.7	248.7	g
GB18-8	GB18	SO-CMD-NORTH	This study	g	68.8	0	-51	9.5	110.7	248.95	g
GB19-1	GB19	SO-CMD-NORTH	This study	g	136.4	0	-8	9.5	110.7	253.9	g
GB19-2	GB19	SO-CMD-NORTH	This study	g	125.9	0	-18	9.5	110.7	253.95	g
GB19-3	GB19	SO-CMD-NORTH	This study	g	202.5	0	-19	9.5	110.7	254.35	g
GB19-4	GB19	SO-CMD-NORTH	This study	g	248.1	0	-41	9.5	110.7	254.45	g
GB19-5	GB19	SO-CMD-NORTH	This study	g	170.8	0	-10	9.5	110.7	254.15	g
GB19-6	GB19	SO-CMD-NORTH	This study	g	188.5	0	-13	9.5	110.7	254.1	g
GB19-7	GB19	SO-CMD-NORTH	This study	g	-2.5	0	-16	9.5	110.7	255.15	g
GB19-8	GB19	SO-CMD-NORTH	This study	g	-17.3	0	-19	9.5	110.7	255.15	g
GB2-1	GB2	SO-CMD-NORTH	This study	g	52.5	0	-45	9.5	110.7	14.55	g
GB2-2	GB2	SO-CMD-NORTH	This study	g	55.5	0	-44	9.5	110.7	14.65	g
GB2-3	GB2	SO-CMD-NORTH	This study	g	120.5	0	-50	9.5	110.7	15.1	g
GB2-4	GB2	SO-CMD-NORTH	This study	g	108.5	0	-59	9.5	110.7	15.25	g
GB2-5	GB2	SO-CMD-NORTH	This study	g	100.5	0	-61	9.5	110.7	15.7	g
GB2-6	GB2	SO-CMD-NORTH	This study	g	91.5	0	-66	9.5	110.7	15.65	g
GB2-7	GB2	SO-CMD-NORTH	This study	g	72.5	0	-71	9.5	110.7	15.65	g
GB2-8	GB2	SO-CMD-NORTH	This study	g	75.5	0	-67	9.5	110.7	15.3	g
GB20-1	GB20	SO-CMD-NORTH	This study	g	237.4	0	-12	9.5	110.7	264.3	g
GB20-2	GB20	SO-CMD-NORTH	This study	g	-57.5	0	-15	9.5	110.7	264.5	g
GB20-3	GB20	SO-CMD-NORTH	This study	g	133.5	0	-16	9.5	110.7	264.6	g
GB20-4	GB20	SO-CMD-NORTH	This study	g	168.5	0	-8	9.5	110.7	264.45	g
GB20-5	GB20	SO-CMD-NORTH	This study	g	229.5	0	-18	9.5	110.7	264.85	g
GB20-6	GB20	SO-CMD-NORTH	This study	g	-55.5	0	-14	9.5	110.7	265.0	g
GB20-7	GB20	SO-CMD-NORTH	This study	g	-35.5	0	-7	9.5	110.7	264.7	g
GB20-8	GB20	SO-CMD-NORTH	This study	g	-79.5	0	-18	9.5	110.7	265.0	g
GB21-1	GB21	SO-CMD-NORTH	This study	g	229.5	0	-39	9.5	110.7	278.1	g
GB21-2	GB21	SO-CMD-NORTH	This study	g	-55.5	0	-4	9.5	110.7	278.2	g
GB21-3	GB21	SO-CMD-NORTH	This study	g	-62.5	0	-12	9.5	110.7	279.0	g
GB21-4	GB21	SO-CMD-NORTH	This study	g	168.5	0	-28	9.5	110.7	279.4	g
GB21-5	GB21	SO-CMD-NORTH	This study	g	-32.5	0	-16	9.5	110.7	279.45	g
GB21-6	GB21	SO-CMD-NORTH	This study	g	147.5	0	-25	9.5	110.7	280.2	g
GB21-7	GB21	SO-CMD-NORTH	This study	g	-9.5	0	-7	9.5	110.7	280.2	g
GB21-8	GB21	SO-CMD-NORTH	This study	g	77.5	0	-16	9.5	110.7	280.2	g
GB22-1	GB22	SO-CMD-NORTH	This study	g	147.5	0	-7	9.5	110.7	280.45	g
GB22-2	GB22	SO-CMD-NORTH	This study	g	67.5	0	-16	9.5	110.7	280.65	g
GB22-3	GB22	SO-CMD-NORTH	This study	g	-22.5	0	-6	9.5	110.7	281.2	g
GB22-4	GB22	SO-CMD-NORTH	This study	g	210.5	0	-14	9.5	110.7	281.6	g
GB22-5	GB22	SO-CMD-NORTH	This study	g	71.5	0	-70	9.5	110.7	280.95	g
GB22-6	GB22	SO-CMD-NORTH	This study	g	64.5	0	-69	9.5	110.7	281.25	g
GB22-7	GB22	SO-CMD-NORTH	This study	g	46.5	0	-78	9.5	110.7	280.65	g
GB22-8	GB22	SO-CMD-NORTH	This study	g	-48.5	0	-9	9.5	110.7	281.85	g
GB23-1	GB23	SO-CMD-NORTH	This study	g	181.5	0	-68	9.5	110.7	286.25	g
GB23-10	GB23	SO-CMD-NORTH	This study	g	149.6	0	-21	9.5	110.7	285.9	g
GB23-11	GB23	SO-CMD-NORTH	This study	g	203.3	0	-50	9.5	110.7	286.05	g
GB23-13	GB23	SO-CMD-NORTH	This study	g	105.1	0	-40	9.5	110.7	285.65	g
GB23-3	GB23	SO-CMD-NORTH	This study	g	192.5	0	-38	9.5	110.7	286.3	g
GB23-4	GB23	SO-CMD-NORTH	This study	g	177.5	0	-81	9.5	110.7	286.45	g
GB23-5	GB23	SO-CMD-NORTH	This study	g	175.5	0	-54	9.5	110.7	286.7	g
GB23-7	GB23	SO-CMD-NORTH	This study	g	89.5	0	-4	9.5	110.7	286.65	g
GB23-8	GB23	SO-CMD-NORTH	This study	g	91.5	0	-6	9.5	110.7	286.65	g
GB24-1	GB24	SO-CMD-NORTH	This study	g	196.5	0	-62	9.5	110.7	287.05	g
GB24-10	GB24	SO-CMD-NORTH	This study	g	183.5	0	-21	9.5	110.7	287.95	g
GB24-2	GB24	SO-CMD-NORTH	This study	g	255.5	0	-62	9.5	110.7	287.55	g
GB24-3	GB24	SO-CMD-NORTH	This study	g	129.5	0	-75	9.5	110.7	287.9	g
GB24-4	GB24	SO-CMD-NORTH	This study	g	157.5	0	-77	9.5	110.7	288.05	g
GB24-5	GB24	SO-CMD-NORTH	This study	g	178.5	0	-81	9.5	110.7	287.1	g
GB24-6	GB24	SO-CMD-NORTH	This study	g	160.5	0	-43	9.5	110.7	287.85	g
GB24-7	GB24	SO-CMD-NORTH	This study	g	177.5	0	-32	9.5	110.7	287.95	g
GB24-8	GB24	SO-CMD-NORTH	This study	g	178.5	0	-45	9.5	110.7	287.95	g
GB24-9	GB24	SO-CMD-NORTH	This study	g	107.5	0	-13	9.5	110.7	287.9	g
GB25-1	GB25	SO-CMD-NORTH	This study	g	195.5	0	-95	9.5	110.7	291.55	g
GB25-2	GB25	SO-CMD-NORTH	This study	g	189.5	0	-87	9.5	110.7	292.05	g
GB25-3	GB25	SO-CMD-NORTH	This study	g	140.5	0	-69	9.5	110.7	292.25	g
GB25-4	GB25	SO-CMD-NORTH	This study	g	113.3	0	-89	9.5	110.7	292.4	g
GB25-5	GB25	SO-CMD-NORTH	This study	g	101.5	0	-76	9.5	110.7	290.45	g
GB25-6	GB25	SO-CMD-NORTH	This study	g	67.9	0	-82	9.5	110.7	290.0	g
GB25-7	GB25	SO-CMD-NORTH	This study	g	72.7	0	-58	9.5	110.7	290.3	g
GB25-8	GB25	SO-CMD-NORTH	This study	g	78.2	0	-69	9.5	110.7	290.2	g
GB26-1	GB26	SO-CMD-NORTH	This study	g	146.4	0	-6	9.5	110.7	299.9	g
GB26-2	GB26	SO-CMD-NORTH	This study	g	-42.1	0	-15	9.5	110.7	299.95	g
GB26-3	GB26	SO-CMD-NORTH	This study	g	-3.7	0	-42	9.5	110.7	300.05	g
GB26-4	GB26	SO-CMD-NORTH	This study	g	-5.2	0	-40	9.5	110.7	300.1	g
GB26-6	GB26	SO-CMD-NORTH	This study	g	13.3	0	-2	9.5	110.7	301.15	g
GB26-7	GB26	SO-CMD-NORTH	This study	g	189.7	0	-7	9.5	110.7	301.15	g
GB26-8	GB26	SO-CMD-NORTH	This study	g	113.6	0	-5	9.5	110.7	302.15	g
GB26-9	GB26	SO-CMD-NORTH	This study	g	97.1	0	-31	9.5	110.7	302.15	g
GB27-1	GB27	SO-CMD-NORTH	This study	g	118.8	0	-15	9.5	110.7	304.3	g
GB27-2	GB27	SO-CMD-NORTH	This study	g	-84.3	0	-17	9.5	110.7	304.7	g
GB27-3	GB27	SO-CMD-NORTH	This study	g	-48.1	0	-20	9.5	110.7	304.8	g
GB27-4	GB27	SO-CMD-NORTH	This study	g	-51.5	0	-23	9.5	110.7	305.0	g
GB27-5	GB27	SO-CMD-NORTH	This study	g	78.1	0	-1	9.5	110.7	304.8	g
GB27-6	GB27	SO-CMD-NORTH	This study	g	41.8	0	-29	9.5	110.7	304.8	g
GB27-7	GB27	SO-CMD-NORTH	This study	g	158.2	0	-30	9.5	110.7	305.15	g
GB27-8	GB27	SO-CMD-NORTH	This study	g	182.6	0	-23	9.5	110.7	305.15	g
GB28-1	GB28	SO-CMD-NORTH	This study	g	-1.4	0	-13	9.5	110.7	306.65	g
GB28-2	GB28	SO-CMD-NORTH	This study	g	86.0	0	-74	9.5	110.7	306.9	g
GB28-3	GB28	SO-CMD-NORTH	This study	g	80.6	0	-74	9.5	110.7	306.95	g
GB28-4	GB28	SO-CMD-NORTH	This study	g	100.4	0	-83	9.5	110.7	306.9	g
GB28-5	GB28	SO-CMD-NORTH	This study	g	5.2	0	-12	9.5	110.7	306.75	g
GB28-6	GB28	SO-CMD-NORTH	This study	g	-32.9	0	-17	9.5	110.7	306.75	g
GB29-1	GB29	SO-CMD-NORTH	This study	g	125.2	0	-16	9.5	110.7	314.0	g
GB29-2	GB29	SO-CMD-NORTH	This study	g	-60.1	0	-14	9.5	110.7	314.0	g
GB29-3	GB29	SO-CMD-NORTH	This study	g	-23.3	0	-28	9.5	110.7	313.8	g
GB29-4	GB29	SO-CMD-NORTH	This study	g	136.5	0	-22	9.5	110.7	313.6	g
GB29-5	GB29	SO-CMD-NORTH	This study	g	109.8	0	-19	9.5	110.7	314.3	g
GB29-6	GB29	SO-CMD-NORTH	This study	g	205.3	0	-41	9.5	110.7	315.3	g
GB29-7	GB29	SO-CMD-NORTH	This study	g	-74.0	0	-23	9.5	110.7	315.6	g
GB3-1	GB3	SO-CMD-NORTH	This study	g	23.5	0	-32	9.5	110.7	21.6	g
GB3-2	GB3	SO-CMD-NORTH	This study	g	199.5	0	-22	9.5	110.7	21.35	g
GB3-3	GB3	SO-CMD-NORTH	This study	g	205.5	0	-15	9.5	110.7	21.35	g
GB3-4	GB3	SO-CMD-NORTH	This study	g	8.5	0	-26	9.5	110.7	22.05	g
GB3-5	GB3	SO-CMD-NORTH	This study	g	23.5	0	-28	9.5	110.7	22.3	g
GB3-6	GB3	SO-CMD-NORTH	This study	g	160.5	0	-20	9.5	110.7	22.2	g
GB3-7	GB3	SO-CMD-NORTH	This study	g	45.5	0	-24	9.5	110.7	22.15	g
GB3-8	GB3	SO-CMD-NORTH	This study	g	-15.5	0	-46	9.5	110.7	22.15	g
GB30-1	GB30	SO-CMD-NORTH	This study	g	-25.5	0	-42	9.5	110.7	315.9	g
GB30-2	GB30	SO-CMD-NORTH	This study	g	-19.5	0	-39	9.5	110.7	315.9	g
GB30-3	GB30	SO-CMD-NORTH	This study	g	7.5	0	-54	9.5	110.7	316.0	g
GB30-4	GB30	SO-CMD-NORTH	This study	g	1.5	0	-57	9.5	110.7	315.95	g
GB30-5	GB30	SO-CMD-NORTH	This study	g	11.5	0	-72	9.5	110.7	316.1	g
GB30-6	GB30	SO-CMD-NORTH	This study	g	-5.5	0	-72	9.5	110.7	316.2	g
GB30-7	GB30	SO-CMD-NORTH	This study	g	-7.5	0	-83	9.5	110.7	316.3	g
GB31-1	GB31	SO-CMD-NORTH	This study	g	263.5	0	-29	9.5	110.7	424.35	g
GB31-2	GB31	SO-CMD-NORTH	This study	g	-91.5	0	-20	9.5	110.7	424.15	g
GB31-3	GB31	SO-CMD-NORTH	This study	g	245.5	0	-24	9.5	110.7	424.0	g
GB31-5	GB31	SO-CMD-NORTH	This study	g	192.5	0	-82	9.5	110.7	423.75	g
GB31-6	GB31	SO-CMD-NORTH	This study	g	265.5	0	-25	9.5	110.7	423.95	g
GB31-7	GB31	SO-CMD-NORTH	This study	g	239.5	0	-30	9.5	110.7	423.3	g
GB31-8	GB31	SO-CMD-NORTH	This study	g	247.5	0	-76	9.5	110.7	423.5	g
GB31-9	GB31	SO-CMD-NORTH	This study	g	194.5	0	-76	9.5	110.7	423.4	g
GB32-1	GB32	SO-CMD-NORTH	This study	g	-32.5	0	-14	9.5	110.7	449.5	g
GB32-2	GB32	SO-CMD-NORTH	This study	g	267.5	0	-15	9.5	110.7	449.5	g
GB32-3	GB32	SO-CMD-NORTH	This study	g	268.7	0	-10	9.5	110.7	449.45	g
GB32-4	GB32	SO-CMD-NORTH	This study	g	-10.5	0	-44	9.5	110.7	449.55	g
GB32-5	GB32	SO-CMD-NORTH	This study	g	-88.7	0	-13	9.5	110.7	449.55	g
GB32-6	GB32	SO-CMD-NORTH	This study	g	-86.3	0	-15	9.5	110.7	449.75	g
GB32-7	GB32	SO-CMD-NORTH	This study	g	217.5	0	-11	9.5	110.7	449.75	g
GB32-8	GB32	SO-CMD-NORTH	This study	g	69.2	0	-12	9.5	110.7	449.65	g
GB4-1	GB4	SO-CMD-NORTH	This study	g	86.5	0	-5	9.5	110.7	26.85	g
GB4-2	GB4	SO-CMD-NORTH	This study	g	175.5	0	-19	9.5	110.7	26.9	g
GB4-3	GB4	SO-CMD-NORTH	This study	g	-56.5	0	-14	9.5	110.7	26.85	g
GB4-4	GB4	SO-CMD-NORTH	This study	g	-54.5	0	-10	9.5	110.7	27.4	g
GB4-5	GB4	SO-CMD-NORTH	This study	g	-64.5	0	-13	9.5	110.7	27.45	g
GB4-6	GB4	SO-CMD-NORTH	This study	g	253.5	0	-17	9.5	110.7	27.45	g
GB4-7	GB4	SO-CMD-NORTH	This study	g	-45.5	0	-20	9.5	110.7	27.55	g
GB4-8	GB4	SO-CMD-NORTH	This study	g	58.5	0	-36	9.5	110.7	27.85	g
GB5-1	GB5	SO-CMD-NORTH	This study	g	169.5	0	-45	9.5	110.7	41.45	g
GB5-3	GB5	SO-CMD-NORTH	This study	g	58.5	0	-44	9.5	110.7	42.2	g
GB5-4	GB5	SO-CMD-NORTH	This study	g	238.5	0	-19	9.5	110.7	42.3	g
GB5-5	GB5	SO-CMD-NORTH	This study	g	209.5	0	-38	9.5	110.7	42.3	g
GB5-6	GB5	SO-CMD-NORTH	This study	g	258.5	0	-25	9.5	110.7	42.3	g
GB5-7	GB5	SO-CMD-NORTH	This study	g	-31.5	0	-62	9.5	110.7	42.2	g
GB5-8	GB5	SO-CMD-NORTH	This study	g	-73.5	0	-40	9.5	110.7	42.1	g
GB6-1	GB6	SO-CMD-NORTH	This study	g	204.6	0	-14	9.5	110.7	81.8	g
GB6-10	GB6	SO-CMD-NORTH	This study	g	259.8	0	-58	9.5	110.7	82.3	g
GB6-2	GB6	SO-CMD-NORTH	This study	g	183.1	0	-8	9.5	110.7	81.85	g
GB6-3	GB6	SO-CMD-NORTH	This study	g	94.5	0	-49	9.5	110.7	82.4	g
GB6-4	GB6	SO-CMD-NORTH	This study	g	262.0	0	-9	9.5	110.7	82.45	g
GB6-5	GB6	SO-CMD-NORTH	This study	g	22.5	0	-74	9.5	110.7	82.35	g
GB6-6	GB6	SO-CMD-NORTH	This study	g	-74.2	0	-65	9.5	110.7	82.45	g
GB6-7	GB6	SO-CMD-NORTH	This study	g	267.1	0	-17	9.5	110.7	82.15	g
GB6-8	GB6	SO-CMD-NORTH	This study	g	256.6	0	-19	9.5	110.7	82.25	g
GB6-9	GB6	SO-CMD-NORTH	This study	g	210.9	0	-12	9.5	110.7	82.2	g
GB7-1	GB7	SO-CMD-NORTH	This study	g	186.5	0	-62	9.5	110.7	177.95	g
GB7-10	GB7	SO-CMD-NORTH	This study	g	-61.8	0	-13	9.5	110.7	181.4	g
GB7-2	GB7	SO-CMD-NORTH	This study	g	96.5	0	-29	9.5	110.7	178.05	g
GB7-3	GB7	SO-CMD-NORTH	This study	g	120.3	0	-32	9.5	110.7	178.55	g
GB7-4	GB7	SO-CMD-NORTH	This study	g	3.9	0	-18	9.5	110.7	178.9	g
GB7-5	GB7	SO-CMD-NORTH	This study	g	177.8	0	-31	9.5	110.7	179.0	g
GB7-6	GB7	SO-CMD-NORTH	This study	g	230.2	0	-11	9.5	110.7	179.4	g
GB7-7	GB7	SO-CMD-NORTH	This study	g	-82.6	0	-12	9.5	110.7	180.85	g
GB7-8	GB7	SO-CMD-NORTH	This study	g	265.1	0	-11	9.5	110.7	180.87	g
GB7-9	GB7	SO-CMD-NORTH	This study	g	-59.7	0	-13	9.5	110.7	181.4	g
GB8-1	GB8	SO-CMD-NORTH	This study	g	106.5	0	-46	9.5	110.7	187.2	g
GB8-2	GB8	SO-CMD-NORTH	This study	g	132.5	0	-76	9.5	110.7	187.25	g
GB8-3	GB8	SO-CMD-NORTH	This study	g	183.4	0	-54	9.5	110.7	187.4	g
GB8-4	GB8	SO-CMD-NORTH	This study	g	173.9	0	-13	9.5	110.7	186.5	g
GB8-5	GB8	SO-CMD-NORTH	This study	g	153.5	0	-80	9.5	110.7	187.6	g
GB8-6	GB8	SO-CMD-NORTH	This study	g	14.5	0	-19	9.5	110.7	186.65	g
GB8-7	GB8	SO-CMD-NORTH	This study	g	187.5	0	-65	9.5	110.7	187.25	g
GB8-8	GB8	SO-CMD-NORTH	This study	g	139.9	0	-75	9.5	110.7	187.45	g
GB8-9	GB8	SO-CMD-NORTH	This study	g	165.5	0	-39	9.5	110.7	187.55	g
GB9-1	GB9	SO-CMD-NORTH	This study	g	-53.0	0	-22	9.5	110.7	226.35	g
GB9-2	GB9	SO-CMD-NORTH	This study	g	119.4	0	-31	9.5	110.7	226.15	g
GB9-3	GB9	SO-CMD-NORTH	This study	g	260.9	0	-9	9.5	110.7	226.5	g
GB9-4	GB9	SO-CMD-NORTH	This study	g	-44.7	0	-25	9.5	110.7	226.55	g
GB9-5	GB9	SO-CMD-NORTH	This study	g	-59.4	0	-19	9.5	110.7	226.55	g
GB9-6	GB9	SO-CMD-NORTH	This study	g	-23.2	0	-20	9.5	110.7	226.6	g
GB9-7	GB9	SO-CMD-NORTH	This study	g	-48.8	0	-19	9.5	110.7	226.65	g
GB9-8	GB9	SO-CMD-NORTH	This study	g	-59.0	0	-19	9.5	110.7	226.5	g
GB9-9	GB9	SO-CMD-NORTH	This study	g	-72.2	0	-24	9.5	110.7	226.15	g
