tab	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	method_codes	number	quality	sample	site	software_packages	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp	measurement
This study		2.0	27.5	55.9	GB1-1a:LP-DIR-T	hargrave 2016-09-12 21:01:14	Gooseberry	3.02e-06	7.93e-08	5.47e-08	4.3e-08	1	273	LT-T-Z:LP-DIR-T	11	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	748.0	GB1-1a:LP-DIR-T11
This study		2.9	26.9	56.1	GB1-1a:LP-DIR-T	hargrave 2016-09-15 11:02:06	Gooseberry	2.86e-06	1.2099999999999998e-07	5.450000000000001e-08	6.21e-08	1	273	LT-T-Z:LP-DIR-T	12	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	773.0	GB1-1a:LP-DIR-T12
This study		3.2	27.0	55.9	GB1-1a:LP-DIR-T	hargrave 2016-09-19 17:13:52	Gooseberry	2.64e-06	1.15e-07	7.47e-08	5.22e-08	1	273	LT-T-Z:LP-DIR-T	13	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	798.0	GB1-1a:LP-DIR-T13
This study		3.4	27.9	55.5	GB1-1a:LP-DIR-T	hargrave 2016-09-22 16:14:59	Gooseberry	2.3e-06	1.1599999999999999e-07	6.22e-08	5.0499999999999996e-08	1	273	LT-T-Z:LP-DIR-T	14	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	823.0	GB1-1a:LP-DIR-T14
This study		2.8	25.8	56.1	GB1-1a:LP-DIR-T	hargrave 2016-09-29 09:50:34	Gooseberry	1.94e-06	8.23e-08	3.63e-08	4.059999999999999e-08	1	273	LT-T-Z:LP-DIR-T	15	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	833.0	GB1-1a:LP-DIR-T15
This study		4.8	27.9	56.1	GB1-1a:LP-DIR-T	hargrave 2016-10-03 16:52:36	Gooseberry	1.83e-06	9.34e-08	1.23e-07	2.67e-08	1	273	LT-T-Z:LP-DIR-T	16	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	843.0	GB1-1a:LP-DIR-T16
This study		3.1	27.6	56.0	GB1-1a:LP-DIR-T	hargrave 2016-10-08 13:29:05	Gooseberry	1.71e-06	7.27e-08	4.4900000000000005e-08	3.47e-08	1	273	LT-T-Z:LP-DIR-T	17	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	848.0	GB1-1a:LP-DIR-T17
This study		2.5	28.8	55.6	GB1-1a:LP-DIR-T	hargrave 2016-10-20 11:27:54	Gooseberry	1.58e-06	5.34e-08	4.0199999999999996e-08	2.4300000000000003e-08	1	273	LT-T-Z:LP-DIR-T	18	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	853.0	GB1-1a:LP-DIR-T18
This study		3.9	25.2	56.0	GB1-1a:LP-DIR-T	hargrave 2016-10-24 23:33:30	Gooseberry	1.26e-06	5.92e-08	6.03e-08	1.91e-08	1	273	LT-T-Z:LP-DIR-T	19	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	868.0	GB1-1a:LP-DIR-T19
This study		3.2	27.1	56.3	GB1-1a:LP-DIR-T	hargrave 2016-11-07 09:52:21	Gooseberry	8.65e-07	3.86e-08	2.75e-08	1.3e-08	1	273	LT-T-Z:LP-DIR-T	20	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	883.0	GB1-1a:LP-DIR-T20
This study		2.9	27.6	57.2	GB1-1a:LP-DIR-T	hargrave 2016-11-08 11:15:59	Gooseberry	4.6399999999999997e-07	1.67e-08	1.62e-08	5.9499999999999995e-09	1	273	LT-T-Z:LP-DIR-T	21	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	898.0	GB1-1a:LP-DIR-T21
This study		2.0	23.5	56.0	GB1-1a:LP-DIR-T	hargrave 2016-11-09 10:12:44	Gooseberry	3.37e-07	8.08e-09	7.57e-09	4.74e-09	1	273	LT-T-Z:LP-DIR-T	22	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	913.0	GB1-1a:LP-DIR-T22
This study		2.4	25.3	55.9	GB1-1a:LP-DIR-T	hargrave 2016-11-10 10:58:02	Gooseberry	2.19e-07	6.890000000000002e-09	4.79e-09	3.76e-09	1	273	LT-T-Z:LP-DIR-T	23	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	928.0	GB1-1a:LP-DIR-T23
This study		2.3	27.6	56.5	GB1-1a:LP-DIR-T	hargrave 2016-11-11 11:55:10	Gooseberry	1.7899999999999995e-07	5.5000000000000004e-09	3.829999999999999e-09	3.04e-09	1	273	LT-T-Z:LP-DIR-T	24	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	938.0	GB1-1a:LP-DIR-T24
This study		2.4	24.8	56.1	GB1-1a:LP-DIR-T	hargrave 2016-11-14 19:20:06	Gooseberry	8.5e-08	2.58e-09	2.38e-09	1.0800000000000002e-09	1	273	LT-T-Z:LP-DIR-T	25	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	948.0	GB1-1a:LP-DIR-T25
This study		2.6	35.0	60.9	GB1-1a:LP-DIR-T	hargrave 2016-11-15 18:07:01	Gooseberry	3.41e-08	1.2e-09	9.93e-10	3.2399999999999997e-10	1	273	LT-T-Z:LP-DIR-T	26	g	GB1-1	GB1	pmagpy-3.8.9-2	GB1-1a	u	0	0	0.0	-90.0	953.0	GB1-1a:LP-DIR-T26
This study		2.2	5.6	72.9	GB1-2a:LP-DIR-T	hargrave 2016-08-17 16:18:04	Gooseberry	4.25e-06	1.37e-07	8.33e-08	4.28e-08	1	273	LT-NO:LP-DIR-T	1	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	273.0	GB1-2a:LP-DIR-T1
This study		2.1	5.2	72.8	GB1-2a:LP-DIR-T	hargrave 2016-08-17 19:10:45	Gooseberry	4.26e-06	1.3e-07	8.26e-08	4.64e-08	1	273	LT-NO:LP-DIR-T	2	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	273.0	GB1-2a:LP-DIR-T2
This study		2.4	6.2	72.8	GB1-2a:LP-DIR-T	hargrave 2016-08-19 18:00:39	Gooseberry	4.23e-06	1.48e-07	9.429999999999999e-08	4.54e-08	1	273	LT-LT-Z:LP-DIR-T	3	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	77.0	GB1-2a:LP-DIR-T3
This study		2.0	6.1	72.7	GB1-2a:LP-DIR-T	hargrave 2016-08-26 13:20:29	Gooseberry	4.22e-06	1e-07	9.400000000000001e-08	5.4400000000000004e-08	1	273	LT-T-Z:LP-DIR-T	4	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	373.0	GB1-2a:LP-DIR-T4
This study		1.7	4.8	71.0	GB1-2a:LP-DIR-T	hargrave 2016-08-31 17:23:11	Gooseberry	4.13e-06	9.54e-08	6.929999999999999e-08	4.5e-08	1	273	LT-T-Z:LP-DIR-T	5	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	473.0	GB1-2a:LP-DIR-T5
This study		1.9	3.1	70.3	GB1-2a:LP-DIR-T	hargrave 2016-09-01 14:53:20	Gooseberry	3.98e-06	1.0199999999999999e-07	7.299999999999999e-08	4.79e-08	1	273	LT-T-Z:LP-DIR-T	6	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	573.0	GB1-2a:LP-DIR-T6
This study		1.9	5.4	69.8	GB1-2a:LP-DIR-T	hargrave 2016-09-02 14:16:27	Gooseberry	3.72e-06	9.12e-08	7.29e-08	4.67e-08	1	273	LT-T-Z:LP-DIR-T	7	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	623.0	GB1-2a:LP-DIR-T7
This study		1.7	2.6	69.8	GB1-2a:LP-DIR-T	hargrave 2016-09-08 10:22:52	Gooseberry	3.35e-06	7.34e-08	6.929999999999999e-08	1.88e-08	1	273	LT-T-Z:LP-DIR-T	8	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	673.0	GB1-2a:LP-DIR-T8
This study		2.0	2.9	69.9	GB1-2a:LP-DIR-T	hargrave 2016-09-08 16:31:34	Gooseberry	3.19e-06	8.060000000000001e-08	7.37e-08	2.23e-08	1	273	LT-T-Z:LP-DIR-T	9	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	698.0	GB1-2a:LP-DIR-T9
This study		2.1	2.0	70.1	GB1-2a:LP-DIR-T	hargrave 2016-09-12 10:17:43	Gooseberry	2.97e-06	6.64e-08	8.29e-08	2.44e-08	1	273	LT-T-Z:LP-DIR-T	10	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	723.0	GB1-2a:LP-DIR-T10
This study		1.9	1.6	69.9	GB1-2a:LP-DIR-T	hargrave 2016-09-12 21:02:56	Gooseberry	2.79e-06	5.31e-08	7.56e-08	2.3399999999999998e-08	1	273	LT-T-Z:LP-DIR-T	11	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	748.0	GB1-2a:LP-DIR-T11
This study		1.9	4.8	70.1	GB1-2a:LP-DIR-T	hargrave 2016-09-15 11:03:46	Gooseberry	2.64e-06	5.84e-08	6.3e-08	1.72e-08	1	273	LT-T-Z:LP-DIR-T	12	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	773.0	GB1-2a:LP-DIR-T12
This study		1.9	2.6	70.1	GB1-2a:LP-DIR-T	hargrave 2016-09-19 17:15:35	Gooseberry	2.46e-06	5.0499999999999996e-08	6.349999999999999e-08	1.62e-08	1	273	LT-T-Z:LP-DIR-T	13	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	798.0	GB1-2a:LP-DIR-T13
This study		2.5	1.7	69.7	GB1-2a:LP-DIR-T	hargrave 2016-09-22 16:16:43	Gooseberry	2.18e-06	5.49e-08	7.61e-08	1.49e-08	1	273	LT-T-Z:LP-DIR-T	14	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	823.0	GB1-2a:LP-DIR-T14
This study		2.3	1.5	70.4	GB1-2a:LP-DIR-T	hargrave 2016-09-29 09:52:18	Gooseberry	1.85e-06	5.0599999999999996e-08	5.11e-08	1.88e-08	1	273	LT-T-Z:LP-DIR-T	15	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	833.0	GB1-2a:LP-DIR-T15
This study		2.1	0.7	70.0	GB1-2a:LP-DIR-T	hargrave 2016-10-03 16:54:16	Gooseberry	1.77e-06	3.4500000000000005e-08	5.5800000000000003e-08	1.48e-08	1	273	LT-T-Z:LP-DIR-T	16	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	843.0	GB1-2a:LP-DIR-T16
This study		2.0	5.7	70.1	GB1-2a:LP-DIR-T	hargrave 2016-10-08 13:30:42	Gooseberry	1.66e-06	4.08e-08	4.1900000000000005e-08	9.429999999999999e-09	1	273	LT-T-Z:LP-DIR-T	17	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	848.0	GB1-2a:LP-DIR-T17
This study		1.7	3.7	70.2	GB1-2a:LP-DIR-T	hargrave 2016-10-20 11:29:36	Gooseberry	1.53e-06	2.9500000000000006e-08	3.4500000000000005e-08	1.16e-08	1	273	LT-T-Z:LP-DIR-T	18	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	853.0	GB1-2a:LP-DIR-T18
This study		2.6	3.6	70.0	GB1-2a:LP-DIR-T	hargrave 2016-10-24 23:35:09	Gooseberry	1.23e-06	2.3900000000000002e-08	5.19e-08	1.04e-08	1	273	LT-T-Z:LP-DIR-T	19	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	868.0	GB1-2a:LP-DIR-T19
This study		1.7	1.0	69.7	GB1-2a:LP-DIR-T	hargrave 2016-11-07 09:54:00	Gooseberry	7.85e-07	1.71e-08	1.63e-08	3.96e-09	1	273	LT-T-Z:LP-DIR-T	20	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	883.0	GB1-2a:LP-DIR-T20
This study		1.8	1.5	70.5	GB1-2a:LP-DIR-T	hargrave 2016-11-08 11:17:38	Gooseberry	4.43e-07	8.320000000000001e-09	1.1699999999999999e-08	3.14e-09	1	273	LT-T-Z:LP-DIR-T	21	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	898.0	GB1-2a:LP-DIR-T21
This study		1.8	360.0	69.2	GB1-2a:LP-DIR-T	hargrave 2016-11-09 10:14:25	Gooseberry	2.79e-07	5.5000000000000004e-09	7.020000000000002e-09	2.9e-09	1	273	LT-T-Z:LP-DIR-T	22	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	913.0	GB1-2a:LP-DIR-T22
This study		1.7	1.9	68.1	GB1-2a:LP-DIR-T	hargrave 2016-11-10 10:59:44	Gooseberry	1.85e-07	3.8e-09	3.73e-09	1.4400000000000002e-09	1	273	LT-T-Z:LP-DIR-T	23	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	928.0	GB1-2a:LP-DIR-T23
This study		2.0	6.8	70.1	GB1-2a:LP-DIR-T	hargrave 2016-11-11 11:56:49	Gooseberry	1.31e-07	2.27e-09	3.96e-09	1.22e-09	1	273	LT-T-Z:LP-DIR-T	24	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	938.0	GB1-2a:LP-DIR-T24
This study		2.1	355.7	70.1	GB1-2a:LP-DIR-T	hargrave 2016-11-14 19:21:45	Gooseberry	6.55e-08	1.18e-09	2.15e-09	5.04e-10	1	273	LT-T-Z:LP-DIR-T	25	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	948.0	GB1-2a:LP-DIR-T25
This study		1.8	16.7	77.3	GB1-2a:LP-DIR-T	hargrave 2016-11-15 18:08:40	Gooseberry	2.7e-08	5.200000000000001e-10	7.049999999999999e-10	3.34e-10	1	273	LT-T-Z:LP-DIR-T	26	g	GB1-2	GB1	pmagpy-3.8.9-2	GB1-2a	u	0	0	0.0	-90.0	953.0	GB1-2a:LP-DIR-T26
This study		2.8	328.2	72.3	GB1-3a:LP-DIR-T	hargrave 2016-08-17 16:19:45	Gooseberry	4.22e-06	1.8399999999999998e-07	8.6e-08	4.69e-08	1	273	LT-NO:LP-DIR-T	1	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	273.0	GB1-3a:LP-DIR-T1
This study		3.1	326.2	72.1	GB1-3a:LP-DIR-T	hargrave 2016-08-17 19:12:24	Gooseberry	4.22e-06	1.97e-07	1.0699999999999999e-07	4.9900000000000003e-08	1	273	LT-NO:LP-DIR-T	2	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	273.0	GB1-3a:LP-DIR-T2
This study		2.8	329.7	72.4	GB1-3a:LP-DIR-T	hargrave 2016-08-19 18:02:20	Gooseberry	4.22e-06	1.83e-07	8.42e-08	5.32e-08	1	273	LT-LT-Z:LP-DIR-T	3	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	77.0	GB1-3a:LP-DIR-T3
This study		2.2	329.5	72.2	GB1-3a:LP-DIR-T	hargrave 2016-08-26 13:22:09	Gooseberry	4.19e-06	1.35e-07	7.71e-08	5.76e-08	1	273	LT-T-Z:LP-DIR-T	4	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	373.0	GB1-3a:LP-DIR-T4
This study		2.4	329.9	70.6	GB1-3a:LP-DIR-T	hargrave 2016-08-31 17:24:46	Gooseberry	4.12e-06	1.5e-07	8.25e-08	5.0700000000000004e-08	1	273	LT-T-Z:LP-DIR-T	5	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	473.0	GB1-3a:LP-DIR-T5
This study		2.6	329.1	69.9	GB1-3a:LP-DIR-T	hargrave 2016-09-01 14:54:56	Gooseberry	3.94e-06	1.57e-07	7.36e-08	5.16e-08	1	273	LT-T-Z:LP-DIR-T	6	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	573.0	GB1-3a:LP-DIR-T6
This study		2.7	330.3	69.6	GB1-3a:LP-DIR-T	hargrave 2016-09-02 14:18:55	Gooseberry	3.68e-06	1.47e-07	8.92e-08	4.93e-08	1	273	LT-T-Z:LP-DIR-T	7	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	623.0	GB1-3a:LP-DIR-T7
This study		1.6	330.3	69.3	GB1-3a:LP-DIR-T	hargrave 2016-09-08 10:24:09	Gooseberry	3.33e-06	6.38e-08	7.21e-08	1.8700000000000002e-08	1	273	LT-T-Z:LP-DIR-T	8	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	673.0	GB1-3a:LP-DIR-T8
This study		1.6	328.9	69.1	GB1-3a:LP-DIR-T	hargrave 2016-09-08 16:32:52	Gooseberry	3.16e-06	6.37e-08	6.3e-08	2.13e-08	1	273	LT-T-Z:LP-DIR-T	9	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	698.0	GB1-3a:LP-DIR-T9
This study		1.6	334.4	69.4	GB1-3a:LP-DIR-T	hargrave 2016-09-12 10:19:22	Gooseberry	2.94e-06	6.2e-08	5.900000000000001e-08	2.23e-08	1	273	LT-T-Z:LP-DIR-T	10	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	723.0	GB1-3a:LP-DIR-T10
This study		1.9	333.3	69.0	GB1-3a:LP-DIR-T	hargrave 2016-09-12 21:04:38	Gooseberry	2.76e-06	5.52e-08	7.86e-08	2.2200000000000004e-08	1	273	LT-T-Z:LP-DIR-T	11	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	748.0	GB1-3a:LP-DIR-T11
This study		1.5	330.9	69.2	GB1-3a:LP-DIR-T	hargrave 2016-09-15 11:05:21	Gooseberry	2.62e-06	4.9900000000000003e-08	5.2e-08	2.14e-08	1	273	LT-T-Z:LP-DIR-T	12	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	773.0	GB1-3a:LP-DIR-T12
This study		1.6	332.6	69.0	GB1-3a:LP-DIR-T	hargrave 2016-09-19 17:17:15	Gooseberry	2.44e-06	5.3600000000000004e-08	4.85e-08	2.45e-08	1	273	LT-T-Z:LP-DIR-T	13	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	798.0	GB1-3a:LP-DIR-T13
This study		1.9	330.0	69.4	GB1-3a:LP-DIR-T	hargrave 2016-09-22 16:18:22	Gooseberry	2.19e-06	4.8e-08	5.51e-08	1.73e-08	1	273	LT-T-Z:LP-DIR-T	14	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	823.0	GB1-3a:LP-DIR-T14
This study		1.8	329.2	69.0	GB1-3a:LP-DIR-T	hargrave 2016-09-29 09:53:54	Gooseberry	1.9e-06	4.12e-08	4.51e-08	1.42e-08	1	273	LT-T-Z:LP-DIR-T	15	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	833.0	GB1-3a:LP-DIR-T15
This study		1.7	326.5	68.8	GB1-3a:LP-DIR-T	hargrave 2016-10-03 16:56:47	Gooseberry	1.81e-06	3.86e-08	4.08e-08	1.79e-08	1	273	LT-T-Z:LP-DIR-T	16	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	843.0	GB1-3a:LP-DIR-T16
This study		1.7	333.0	69.2	GB1-3a:LP-DIR-T	hargrave 2016-10-08 13:32:18	Gooseberry	1.72e-06	3.35e-08	3.96e-08	1.65e-08	1	273	LT-T-Z:LP-DIR-T	17	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	848.0	GB1-3a:LP-DIR-T17
This study		1.9	333.7	69.2	GB1-3a:LP-DIR-T	hargrave 2016-10-20 11:31:19	Gooseberry	1.59e-06	2.8700000000000002e-08	4.59e-08	9.8e-09	1	273	LT-T-Z:LP-DIR-T	18	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	853.0	GB1-3a:LP-DIR-T18
This study		1.8	332.5	68.7	GB1-3a:LP-DIR-T	hargrave 2016-10-24 23:36:43	Gooseberry	1.28e-06	2.93e-08	2.7200000000000002e-08	1.22e-08	1	273	LT-T-Z:LP-DIR-T	19	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	868.0	GB1-3a:LP-DIR-T19
This study		1.8	330.0	68.8	GB1-3a:LP-DIR-T	hargrave 2016-11-07 09:55:39	Gooseberry	7.520000000000002e-07	1.6399999999999998e-08	1.74e-08	3.3e-09	1	273	LT-T-Z:LP-DIR-T	20	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	883.0	GB1-3a:LP-DIR-T20
This study		1.5	331.1	69.5	GB1-3a:LP-DIR-T	hargrave 2016-11-08 11:19:17	Gooseberry	4.7e-07	8.84e-09	8.87e-09	3.09e-09	1	273	LT-T-Z:LP-DIR-T	21	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	898.0	GB1-3a:LP-DIR-T21
This study		1.5	330.0	67.9	GB1-3a:LP-DIR-T	hargrave 2016-11-09 10:16:07	Gooseberry	2.8e-07	5.520000000000001e-09	5.14e-09	2.6600000000000003e-09	1	273	LT-T-Z:LP-DIR-T	22	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	913.0	GB1-3a:LP-DIR-T22
This study		1.8	329.1	68.6	GB1-3a:LP-DIR-T	hargrave 2016-11-10 11:01:22	Gooseberry	2.2e-07	4.65e-09	5.37e-09	1.14e-09	1	273	LT-T-Z:LP-DIR-T	23	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	928.0	GB1-3a:LP-DIR-T23
This study		1.6	332.5	66.9	GB1-3a:LP-DIR-T	hargrave 2016-11-11 11:58:29	Gooseberry	1.58e-07	3.379999999999999e-09	3.03e-09	1.25e-09	1	273	LT-T-Z:LP-DIR-T	24	g	GB1-3	GB1	pmagpy-3.8.9-2	GB1-3a	u	0	0	0.0	-90.0	938.0	GB1-3a:LP-DIR-T24
