tab	specimens
analysts	citations	dir_alpha95	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	instrument_codes	int_corr	location	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	site	software_packages	specimen	weight
	This study		HT	0.4	297.9	39.8	1.6	1	19	0	GB1-4a:LP-DIR-T	hargrave 2016-11-15 18:12:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-4	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-4a	0.001
	This study		HT	0.4	298.9	49.2	1.6	1	19	100	GB1-4a:LP-DIR-T	hargrave 2016-11-15 18:12:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-4	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-4a	0.001
	This study		HT	0.2	102.6	26.8	2.0	1	15	-1	GB1-5a:LP-DIR-T	hargrave 2016-11-15 18:13:50	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-5	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-5a	0.001
	This study		HT	0.2	285.9	28.2	2.0	1	15	0	GB1-5a:LP-DIR-T	hargrave 2016-11-15 18:13:50	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-5	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-5a	0.001
	This study		HT	0.2	285.2	37.7	2.0	1	15	100	GB1-5a:LP-DIR-T	hargrave 2016-11-15 18:13:50	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-5	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-5a	0.001
	This study		HT	0.3	309.6	47.5	1.7	1	19	-1	GB1-6a:LP-DIR-T	hargrave 2016-11-15 18:16:31	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-6	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-6a	0.001
	This study		HT	0.3	300.1	40.6	1.7	1	19	0	GB1-6a:LP-DIR-T	hargrave 2016-11-15 18:16:31	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-6	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-6a	0.001
	This study		HT	0.3	301.6	50.0	1.7	1	19	100	GB1-6a:LP-DIR-T	hargrave 2016-11-15 18:16:31	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-6	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-6a	0.001
	This study		HT	0.3	200.1	-18.3	1.7	1	19	-1	GB1-7a:LP-DIR-T	hargrave 2016-11-15 18:18:22	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-7	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-7a	0.001
	This study		HT	0.3	301.0	40.7	1.7	1	19	0	GB1-7a:LP-DIR-T	hargrave 2016-11-15 18:18:22	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-7	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-7a	0.001
	This study		HT	0.3	302.6	50.0	1.7	1	19	100	GB1-7a:LP-DIR-T	hargrave 2016-11-15 18:18:22	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-7	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-7a	0.001
	This study		HT	0.0	196.7	-37.5	1.5	1	15	-1	GB1-8a:LP-DIR-T	hargrave 2016-11-15 18:20:09	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB1-8	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-8a	0.001
	This study		HT	0.0	307.8	40.0	1.5	1	15	0	GB1-8a:LP-DIR-T	hargrave 2016-11-15 18:20:09	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB1-8	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-8a	0.001
	This study		HT	0.0	310.5	49.0	1.5	1	15	100	GB1-8a:LP-DIR-T	hargrave 2016-11-15 18:20:09	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB1-8	GB1	pmagpy-3.8.9-2: demag_gui.v.3.0	GB1-8a	0.001
	This study		HT	0.9	69.0	35.5	2.1	1	15	-1	GB10-10a:LP-DIR-T	hargrave 2016-12-22 21:45:09	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-10	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-10a	0.001
	This study		HT	0.9	301.0	31.8	2.1	1	15	0	GB10-10a:LP-DIR-T	hargrave 2016-12-22 21:45:09	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-10	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-10a	0.001
	This study		HT	0.9	302.3	41.1	2.1	1	15	100	GB10-10a:LP-DIR-T	hargrave 2016-12-22 21:45:09	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-10	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-10a	0.001
	This study		HT	0.7	213.4	10.7	2.7	1	19	-1	GB10-1a:LP-DIR-T	hargrave 2016-12-22 21:32:38	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-1	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-1a	0.001
	This study		HT	0.7	299.7	30.2	2.7	1	19	0	GB10-1a:LP-DIR-T	hargrave 2016-12-22 21:32:38	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-1	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-1a	0.001
	This study		HT	0.7	300.8	39.6	2.7	1	19	100	GB10-1a:LP-DIR-T	hargrave 2016-12-22 21:32:38	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-1	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-1a	0.001
	This study		HT	0.8	231.3	22.4	3.3	1	19	-1	GB10-2a:LP-DIR-T	hargrave 2016-12-22 21:34:12	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-2	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-2a	0.001
	This study		HT	0.8	301.0	37.4	3.3	1	19	0	GB10-2a:LP-DIR-T	hargrave 2016-12-22 21:34:12	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-2	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-2a	0.001
	This study		HT	0.8	302.6	46.8	3.3	1	19	100	GB10-2a:LP-DIR-T	hargrave 2016-12-22 21:34:12	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-2	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-2a	0.001
	This study		HT	1.4	153.6	0.9	2.6	1	19	-1	GB10-3a:LP-DIR-T	hargrave 2016-12-22 21:36:46	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-3	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-3a	0.001
	This study		HT	1.4	300.4	31.8	2.6	1	19	0	GB10-3a:LP-DIR-T	hargrave 2016-12-22 21:36:46	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-3	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-3a	0.001
	This study		HT	1.4	301.7	41.1	2.6	1	19	100	GB10-3a:LP-DIR-T	hargrave 2016-12-22 21:36:46	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-3	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-3a	0.001
	This study		HT	0.3	88.6	34.0	1.9	1	19	-1	GB10-4a:LP-DIR-T	hargrave 2016-12-22 21:38:00	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-4	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-4a	0.001
	This study		HT	0.3	299.4	33.0	1.9	1	19	0	GB10-4a:LP-DIR-T	hargrave 2016-12-22 21:38:00	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-4	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-4a	0.001
	This study		HT	0.3	300.6	42.4	1.9	1	19	100	GB10-4a:LP-DIR-T	hargrave 2016-12-22 21:38:00	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-4	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-4a	0.001
	This study		HT	0.3	186.3	21.7	1.2	1	19	-1	GB10-5a:LP-DIR-T	hargrave 2016-12-22 21:39:11	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-5	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-5a	0.001
	This study		HT	0.3	301.8	34.6	1.2	1	19	0	GB10-5a:LP-DIR-T	hargrave 2016-12-22 21:39:11	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-5	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-5a	0.001
	This study		HT	0.3	303.4	43.9	1.2	1	19	100	GB10-5a:LP-DIR-T	hargrave 2016-12-22 21:39:11	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-5	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-5a	0.001
	This study		HT	0.6	196.8	29.0	2.5	1	19	-1	GB10-6a:LP-DIR-T	hargrave 2016-12-22 21:40:20	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-6	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-6a	0.001
	This study		HT	0.6	296.0	32.9	2.5	1	19	0	GB10-6a:LP-DIR-T	hargrave 2016-12-22 21:40:20	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-6	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-6a	0.001
	This study		HT	0.6	296.7	42.3	2.5	1	19	100	GB10-6a:LP-DIR-T	hargrave 2016-12-22 21:40:20	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-6	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-6a	0.001
	This study		HT	1.6	146.5	-0.8	4.6	1	19	-1	GB10-7a:LP-DIR-T	hargrave 2016-12-22 21:41:33	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-7	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-7a	0.001
	This study		HT	1.6	304.6	34.7	4.6	1	19	0	GB10-7a:LP-DIR-T	hargrave 2016-12-22 21:41:33	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-7	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-7a	0.001
	This study		HT	1.6	306.6	43.9	4.6	1	19	100	GB10-7a:LP-DIR-T	hargrave 2016-12-22 21:41:33	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-7	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-7a	0.001
	This study		HT	2.3	213.4	8.5	5.6	1	19	-1	GB10-8a:LP-DIR-T	hargrave 2016-12-22 21:42:42	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-8	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-8a	0.001
	This study		HT	2.3	302.4	29.7	5.6	1	19	0	GB10-8a:LP-DIR-T	hargrave 2016-12-22 21:42:42	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-8	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-8a	0.001
	This study		HT	2.3	303.7	39.0	5.6	1	19	100	GB10-8a:LP-DIR-T	hargrave 2016-12-22 21:42:42	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-8	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-8a	0.001
	This study		HT	0.6	160.9	18.5	4.9	1	15	-1	GB10-9a:LP-DIR-T	hargrave 2016-12-22 21:43:54	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB10-9	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-9a	0.001
	This study		HT	0.6	292.3	30.8	4.9	1	15	0	GB10-9a:LP-DIR-T	hargrave 2016-12-22 21:43:54	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB10-9	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-9a	0.001
	This study		HT	0.6	292.6	40.2	4.9	1	15	100	GB10-9a:LP-DIR-T	hargrave 2016-12-22 21:43:54	u	Gooseberry	953	773	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB10-9	GB10	pmagpy-3.8.9-2: demag_gui.v.3.0	GB10-9a	0.001
	This study		HT	2.1	151.5	11.1	3.5	1	19	-1	GB11-1a:LP-DIR-T	hargrave 2016-12-23 09:54:41	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-1	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-1a	0.001
	This study		HT	2.1	298.7	32.6	3.5	1	19	0	GB11-1a:LP-DIR-T	hargrave 2016-12-23 09:54:41	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-1	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-1a	0.001
	This study		HT	2.1	299.7	42.0	3.5	1	19	100	GB11-1a:LP-DIR-T	hargrave 2016-12-23 09:54:41	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-1	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-1a	0.001
	This study		HT	0.4	63.4	35.8	3.3	1	19	-1	GB11-2a:LP-DIR-T	hargrave 2016-12-23 09:56:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-2	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-2a	0.001
	This study		HT	0.4	299.5	31.4	3.3	1	19	0	GB11-2a:LP-DIR-T	hargrave 2016-12-23 09:56:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-2	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-2a	0.001
	This study		HT	0.4	300.6	40.8	3.3	1	19	100	GB11-2a:LP-DIR-T	hargrave 2016-12-23 09:56:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-2	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-2a	0.001
	This study		HT	0.5	52.8	36.0	2.4	1	19	-1	GB11-3a:LP-DIR-T	hargrave 2016-12-23 09:57:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-3	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-3a	0.001
	This study		HT	0.5	301.8	32.9	2.4	1	19	0	GB11-3a:LP-DIR-T	hargrave 2016-12-23 09:57:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-3	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-3a	0.001
	This study		HT	0.5	303.3	42.2	2.4	1	19	100	GB11-3a:LP-DIR-T	hargrave 2016-12-23 09:57:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-3	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-3a	0.001
	This study		HT	0.2	207.9	20.3	3.5	1	19	-1	GB11-4a:LP-DIR-T	hargrave 2016-12-23 09:58:32	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-4	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-4a	0.001
	This study		HT	0.2	299.2	33.3	3.5	1	19	0	GB11-4a:LP-DIR-T	hargrave 2016-12-23 09:58:32	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-4	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-4a	0.001
	This study		HT	0.2	300.3	42.7	3.5	1	19	100	GB11-4a:LP-DIR-T	hargrave 2016-12-23 09:58:32	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-4	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-4a	0.001
	This study		HT	1.6	186.6	11.3	3.1	1	19	-1	GB11-5a:LP-DIR-T	hargrave 2016-12-23 09:59:45	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	b	GB11-5	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-5a	0.001
	This study		HT	1.6	177.7	22.2	3.1	1	19	0	GB11-5a:LP-DIR-T	hargrave 2016-12-23 09:59:45	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	b	GB11-5	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-5a	0.001
	This study		HT	1.6	174.5	18.3	3.1	1	19	100	GB11-5a:LP-DIR-T	hargrave 2016-12-23 09:59:45	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	b	GB11-5	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-5a	0.001
	This study		HT	1.3	237.1	-42.0	3.3	1	19	-1	GB11-7a:LP-DIR-T	hargrave 2016-12-23 10:01:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-7	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-7a	0.001
	This study		HT	1.3	301.5	23.1	3.3	1	19	0	GB11-7a:LP-DIR-T	hargrave 2016-12-23 10:01:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-7	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-7a	0.001
	This study		HT	1.3	302.5	32.4	3.3	1	19	100	GB11-7a:LP-DIR-T	hargrave 2016-12-23 10:01:02	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-7	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-7a	0.001
	This study		HT	2.2	195.8	-33.6	1.7	1	19	-1	GB11-8a:LP-DIR-T	hargrave 2016-12-23 10:02:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-8	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-8a	0.001
	This study		HT	2.2	311.9	22.8	1.7	1	19	0	GB11-8a:LP-DIR-T	hargrave 2016-12-23 10:02:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-8	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-8a	0.001
	This study		HT	2.2	313.7	31.6	1.7	1	19	100	GB11-8a:LP-DIR-T	hargrave 2016-12-23 10:02:19	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-8	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-8a	0.001
	This study		HT	4.6	350.1	39.1	3.3	1	19	-1	GB11-9a:LP-DIR-T	hargrave 2016-12-23 10:03:32	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB11-9	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-9a	0.001
	This study		HT	4.6	300.0	26.2	3.3	1	19	0	GB11-9a:LP-DIR-T	hargrave 2016-12-23 10:03:32	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB11-9	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-9a	0.001
	This study		HT	4.6	301.0	35.6	3.3	1	19	100	GB11-9a:LP-DIR-T	hargrave 2016-12-23 10:03:32	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB11-9	GB11	pmagpy-3.8.9-2: demag_gui.v.3.0	GB11-9a	0.001
	This study		HT	0.2	15.1	37.3	2.3	1	19	-1	GB12-1a:LP-DIR-T	hargrave 2016-12-23 10:04:50	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB12-1	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-1a	0.001
	This study		HT	0.2	306.1	30.5	2.3	1	19	0	GB12-1a:LP-DIR-T	hargrave 2016-12-23 10:04:50	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB12-1	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-1a	0.001
	This study		HT	0.2	308.0	39.7	2.3	1	19	100	GB12-1a:LP-DIR-T	hargrave 2016-12-23 10:04:50	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB12-1	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-1a	0.001
	This study		HT	0.6	298.1	35.2	3.2	1	19	-1	GB12-2a:LP-DIR-T	hargrave 2016-12-23 10:06:11	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB12-2	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-2a	0.001
	This study		HT	0.6	303.6	33.2	3.2	1	19	0	GB12-2a:LP-DIR-T	hargrave 2016-12-23 10:06:11	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB12-2	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-2a	0.001
	This study		HT	0.6	305.3	42.4	3.2	1	19	100	GB12-2a:LP-DIR-T	hargrave 2016-12-23 10:06:11	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB12-2	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-2a	0.001
	This study		HT	0.8	312.4	38.0	2.5	1	19	-1	GB12-3a:LP-DIR-T	hargrave 2016-12-23 10:09:27	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	g	GB12-3	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-3a	0.001
	This study		HT	0.8	300.1	31.7	2.5	1	19	0	GB12-3a:LP-DIR-T	hargrave 2016-12-23 10:09:27	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	GB12-3	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-3a	0.001
	This study		HT	0.8	301.3	41.0	2.5	1	19	100	GB12-3a:LP-DIR-T	hargrave 2016-12-23 10:09:27	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	GB12-3	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-3a	0.001
	This study		HT	1.6	198.4	34.7	3.0	1	19	-1	GB12-4a:LP-DIR-T	hargrave 2016-12-23 10:10:46	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR	b	GB12-4	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-4a	0.001
	This study		HT	1.6	184.1	44.1	3.0	1	19	0	GB12-4a:LP-DIR-T	hargrave 2016-12-23 10:10:46	u	Gooseberry	953	673	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	b	GB12-4	GB12	pmagpy-3.8.9-2: demag_gui.v.3.0	GB12-4a	0.001
