tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_alpha95	average_dec	average_height	average_inc	average_k	average_lat	average_lon	average_n	average_n_lines	average_n_planes	average_r	data_type	er_analyst_mail_names	er_citation_names	er_location_names	er_site_names	er_specimen_names	magic_method_codes	magic_software_packages	pmag_criteria_codes	pmag_result_name	pole_comp_name	result_description	tilt_correction	vgp_dm	vgp_dp	vgp_lat	vgp_lon	vgp_n
1.0880e+03	3.0000e+00	Ma	3.9	289.5	443	51.3	204	47.5344	-90.9350	8	8	0	7.9656	i		This study	Two Island River	SLB03	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB03	mag	Site VGP, coord system = 100 component: hem	100	5.3	3.6	35.6	189.6	8
1.0880e+03	3.0000e+00	Ma	4.7	291.2	443	51.7	142	47.5344	-90.9350	8	8	0	7.9508	i		This study	Two Island River	SLB03	SLB03.1a:SLB03.2a:SLB03.3a:SLB03.4a:SLB03.5a:SLB03.6a:SLB03.7a:SLB03.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB03	hem	Site VGP, coord system = 100 component: hem	100	6.4	4.4	36.9	188.8	8
1.0880e+03	3.0000e+00	Ma	2.7	297.8	443	37.0	430	47.5342	-90.9348	8	8	0	7.9837	i		This study	Two Island River	SLB04	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB04	mag	Site VGP, coord system = 100 component: hem	0	3.2	1.9	33.7	173.3	8
1.0880e+03	3.0000e+00	Ma	2.9	295.9	443	37.7	357	47.5342	-90.9348	8	8	0	7.9804	i		This study	Two Island River	SLB04	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB04	hem	Site VGP, coord system = 100 component: hem	0	3.4	2.0	32.8	175.2	8
1.0880e+03	3.0000e+00	Ma	2.7	292.9	443	53.3	427	47.5342	-90.9348	8	8	0	7.9836	i		This study	Two Island River	SLB04	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB04	mag	Site VGP, coord system = 100 component: hem	100	3.8	2.6	39.0	189.3	8
1.0880e+03	3.0000e+00	Ma	2.9	290.2	443	53.8	357	47.5342	-90.9348	8	8	0	7.9804	i		This study	Two Island River	SLB04	SLB04.1a:SLB04.2a:SLB04.3a:SLB04.4a:SLB04.5a:SLB04.6a:SLB04.7a:SLB04.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB04	hem	Site VGP, coord system = 100 component: hem	100	4.1	2.8	37.5	191.5	8
1.0880e+03	3.0000e+00	Ma	3.7	294.5	443	39.2	219	47.5341	-90.9350	8	8	0	7.9681	i		This study	Two Island River	SLB05	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB05	mag	Site VGP, coord system = 100 component: hem	0	4.4	2.6	32.5	177.1	8
1.0880e+03	3.0000e+00	Ma	3.7	292.3	443	39.4	223	47.5341	-90.9350	8	8	0	7.9686	i		This study	Two Island River	SLB05	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB05	hem	Site VGP, coord system = 100 component: hem	0	4.4	2.7	31.1	178.9	8
1.0880e+03	3.0000e+00	Ma	3.8	287.9	443	55.2	218	47.5341	-90.9350	8	8	0	7.9680	i		This study	Two Island River	SLB05	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB05	mag	Site VGP, coord system = 100 component: hem	100	5.4	3.8	36.8	194.3	8
1.0880e+03	3.0000e+00	Ma	3.7	284.9	443	55.0	223	47.5341	-90.9350	8	8	0	7.9686	i		This study	Two Island River	SLB05	SLB05.1a:SLB05.2a:SLB05.3a:SLB05.4a:SLB05.6a:SLB05.7a:SLB05.8a:SLB05.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB05	hem	Site VGP, coord system = 100 component: hem	100	5.2	3.7	34.7	195.9	8
1.0880e+03	3.0000e+00	Ma	2.8	290.4	443	37.2	336	47.5344	-90.9351	9	9	0	8.9762	i		This study	Two Island River	SLB06	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB06	mag	Site VGP, coord system = 100 component: hem	0	3.3	1.9	28.8	179.0	9
1.0880e+03	3.0000e+00	Ma	2.8	291.1	443	37.3	337	47.5344	-90.9351	9	9	0	8.9763	i		This study	Two Island River	SLB06	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB06	hem	Site VGP, coord system = 100 component: hem	0	3.3	1.9	29.3	178.5	9
1.0880e+03	3.0000e+00	Ma	2.8	283.2	443	52.6	337	47.5344	-90.9351	9	9	0	8.9763	i		This study	Two Island River	SLB06	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB06	mag	Site VGP, coord system = 100 component: hem	100	3.9	2.7	32.2	194.7	9
1.0880e+03	3.0000e+00	Ma	2.8	284.1	443	52.8	337	47.5344	-90.9351	9	9	0	8.9763	i		This study	Two Island River	SLB06	SLB06.1a:SLB06.2a:SLB06.3a:SLB06.4a:SLB06.5a:SLB06.6a:SLB06.7a:SLB06.8a:SLB06.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB06	hem	Site VGP, coord system = 100 component: hem	100	3.9	2.7	32.9	194.3	9
1.0880e+03	3.0000e+00	Ma	6.5	291.9	443	41.0	63	47.5337	-90.9344	9	9	0	8.8728	i		This study	Two Island River	SLB07	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB07	mag	Site VGP, coord system = 100 component: hem	0	7.9	4.8	31.7	180.2	9
1.0880e+03	3.0000e+00	Ma	6.7	291.8	443	40.8	60	47.5337	-90.9344	9	9	0	8.8675	i		This study	Two Island River	SLB07	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB07	hem	Site VGP, coord system = 100 component: hem	0	8.1	4.9	31.5	180.1	9
1.0880e+03	3.0000e+00	Ma	6.5	283.9	443	56.6	63	47.5337	-90.9344	9	9	0	8.8729	i		This study	Two Island River	SLB07	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB07	mag	Site VGP, coord system = 100 component: hem	100	9.4	6.8	35.1	198.1	9
1.0880e+03	3.0000e+00	Ma	6.7	283.8	443	56.4	60	47.5337	-90.9344	9	9	0	8.8677	i		This study	Two Island River	SLB07	SLB07.10a:SLB07.1a:SLB07.2a:SLB07.3a:SLB07.4a:SLB07.5a:SLB07.7a:SLB07.8a:SLB07.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB07	hem	Site VGP, coord system = 100 component: hem	100	9.7	7.0	34.9	197.9	9
1.0880e+03	3.0000e+00	Ma	2.1	290.1	443	40.3	625	47.5333	-90.9343	9	9	0	8.9872	i		This study	Two Island River	SLB08	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB08	mag	Site VGP, coord system = 100 component: hem	0	2.5	1.5	30.1	181.1	9
1.0880e+03	3.0000e+00	Ma	1.7	289.6	443	41.1	870	47.5333	-90.9343	9	9	0	8.9908	i		This study	Two Island River	SLB08	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB08	hem	Site VGP, coord system = 100 component: hem	0	2.1	1.3	30.2	181.9	9
1.0880e+03	3.0000e+00	Ma	2.1	281.8	443	55.6	617	47.5333	-90.9343	9	9	0	8.9870	i		This study	Two Island River	SLB08	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB08	mag	Site VGP, coord system = 100 component: hem	100	3.0	2.1	33.1	198.3	9
1.0880e+03	3.0000e+00	Ma	1.8	280.8	443	56.3	863	47.5333	-90.9343	9	9	0	8.9907	i		This study	Two Island River	SLB08	SLB08.10a:SLB08.1a:SLB08.2a:SLB08.3a:SLB08.4a:SLB08.6a:SLB08.7a:SLB08.8a:SLB08.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB08	hem	Site VGP, coord system = 100 component: hem	100	2.6	1.9	32.9	199.6	9
1.0880e+03	3.0000e+00	Ma	11.0	288.3	443	41.8	31	47.5329	-90.9341	7	7	0	6.8082	i		This study	Two Island River	SLB09	SLB09.1a:SLB09.3a:SLB09.4a:SLB09.5a:SLB09.6a:SLB09.7a:SLB09.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB09	mag	Site VGP, coord system = 100 component: hem	0	13.5	8.2	29.6	183.3	7
1.0880e+03	3.0000e+00	Ma	10.7	287.4	443	42.3	33	47.5329	-90.9341	7	7	0	6.8155	i		This study	Two Island River	SLB09	SLB09.1a:SLB09.3a:SLB09.4a:SLB09.5a:SLB09.6a:SLB09.7a:SLB09.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB09	hem	Site VGP, coord system = 100 component: hem	0	13.2	8.1	29.3	184.3	7
1.0880e+03	3.0000e+00	Ma	11.0	278.8	443	56.8	31	47.5329	-90.9341	7	7	0	6.8083	i		This study	Two Island River	SLB09	SLB09.1a:SLB09.3a:SLB09.4a:SLB09.5a:SLB09.6a:SLB09.7a:SLB09.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB09	mag	Site VGP, coord system = 100 component: hem	100	16.0	11.6	32.0	201.3	7
1.0880e+03	3.0000e+00	Ma	10.7	277.3	443	57.2	32	47.5329	-90.9341	7	7	0	6.8154	i		This study	Two Island River	SLB09	SLB09.1a:SLB09.3a:SLB09.4a:SLB09.5a:SLB09.6a:SLB09.7a:SLB09.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB09	hem	Site VGP, coord system = 100 component: hem	100	15.6	11.4	31.3	202.5	7
1.0880e+03	3.0000e+00	Ma	5.7	269.2	443	12.3	83	47.5325	-90.9334	9	9	0	8.9038	i		This study	Two Island River	SLB10	SLB10.10a:SLB10.1a:SLB10.2a:SLB10.3a:SLB10.4a:SLB10.5a:SLB10.6a:SLB10.7a:SLB10.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB10	mag	Site VGP, coord system = 100 component: hem	0	5.8	3.0	4.0	183.9	9
1.0880e+03	3.0000e+00	Ma	6.7	268.4	443	14.0	60	47.5325	-90.9334	9	9	0	8.8677	i		This study	Two Island River	SLB10	SLB10.10a:SLB10.1a:SLB10.2a:SLB10.3a:SLB10.4a:SLB10.5a:SLB10.6a:SLB10.7a:SLB10.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB10	hem	Site VGP, coord system = 100 component: hem	0	6.9	3.5	4.2	185.0	9
1.0880e+03	3.0000e+00	Ma	5.2	264.6	443	27.3	98	47.5325	-90.9334	9	9	0	8.9182	i		This study	Two Island River	SLB10	SLB10.10a:SLB10.1a:SLB10.2a:SLB10.3a:SLB10.4a:SLB10.5a:SLB10.6a:SLB10.7a:SLB10.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB10	mag	Site VGP, coord system = 100 component: hem	100	5.7	3.1	7.1	192.8	9
1.0880e+03	3.0000e+00	Ma	4.8	263.4	443	28.8	115	47.5325	-90.9334	9	9	0	8.9306	i		This study	Two Island River	SLB10	SLB10.10a:SLB10.1a:SLB10.2a:SLB10.3a:SLB10.4a:SLB10.5a:SLB10.6a:SLB10.7a:SLB10.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB10	hem	Site VGP, coord system = 100 component: hem	100	5.3	2.9	6.9	194.3	9
1.0880e+03	3.0000e+00	Ma	8.4	271.6	443	24.6	39	47.5322	-90.9335	9	9	0	8.7935	i		This study	Two Island River	SLB11	SLB11.1a:SLB11.2a:SLB11.3a:SLB11.4a:SLB11.5a:SLB11.6a:SLB11.7a:SLB11.8a:SLB11.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB11	mag	Site VGP, coord system = 100 component: hem	0	9.0	4.8	10.5	186.7	9
1.0880e+03	3.0000e+00	Ma	8.6	268.1	443	26.0	37	47.5322	-90.9335	9	9	0	8.7830	i		This study	Two Island River	SLB11	SLB11.1a:SLB11.2a:SLB11.3a:SLB11.4a:SLB11.5a:SLB11.6a:SLB11.7a:SLB11.8a:SLB11.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB11	hem	Site VGP, coord system = 100 component: hem	0	9.3	5.0	8.8	189.8	9
1.0880e+03	3.0000e+00	Ma	8.4	264.5	443	36.9	39	47.5322	-90.9335	9	9	0	8.7936	i		This study	Two Island River	SLB11	SLB11.1a:SLB11.2a:SLB11.3a:SLB11.4a:SLB11.5a:SLB11.6a:SLB11.7a:SLB11.8a:SLB11.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB11	mag	Site VGP, coord system = 100 component: hem	100	9.8	5.8	11.5	197.1	9
1.0880e+03	3.0000e+00	Ma	8.6	260.3	443	37.5	37	47.5322	-90.9335	9	9	0	8.7826	i		This study	Two Island River	SLB11	SLB11.1a:SLB11.2a:SLB11.3a:SLB11.4a:SLB11.5a:SLB11.6a:SLB11.7a:SLB11.8a:SLB11.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB11	hem	Site VGP, coord system = 100 component: hem	100	10.1	6.0	9.1	200.3	9
1.0880e+03	3.0000e+00	Ma	2.9	270.9	443	19.5	324	47.5322	-90.9335	9	9	0	8.9753	i		This study	Two Island River	SLB12	SLB12.1a:SLB12.2a:SLB12.3a:SLB12.4a:SLB12.5a:SLB12.6a:SLB12.7a:SLB12.8a:SLB12.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB12	mag	Site VGP, coord system = 100 component: hem	0	3.0	1.6	8.0	185.2	9
1.0880e+03	3.0000e+00	Ma	2.7	270.0	443	22.7	359	47.5322	-90.9335	9	9	0	8.9777	i		This study	Two Island River	SLB12	SLB12.1a:SLB12.2a:SLB12.3a:SLB12.4a:SLB12.5a:SLB12.6a:SLB12.7a:SLB12.8a:SLB12.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB12	hem	Site VGP, coord system = 100 component: hem	0	2.9	1.5	8.7	187.1	9
1.0880e+03	3.0000e+00	Ma	2.9	265.2	443	31.8	324	47.5322	-90.9335	9	9	0	8.9753	i		This study	Two Island River	SLB12	SLB12.1a:SLB12.2a:SLB12.3a:SLB12.4a:SLB12.5a:SLB12.6a:SLB12.7a:SLB12.8a:SLB12.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB12	mag	Site VGP, coord system = 100 component: hem	100	3.3	1.8	9.5	194.3	9
1.0880e+03	3.0000e+00	Ma	2.7	263.3	443	34.7	360	47.5322	-90.9335	9	9	0	8.9778	i		This study	Two Island River	SLB12	SLB12.1a:SLB12.2a:SLB12.3a:SLB12.4a:SLB12.5a:SLB12.6a:SLB12.7a:SLB12.8a:SLB12.9a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB12	hem	Site VGP, coord system = 100 component: hem	100	3.1	1.8	9.6	196.9	9
1.0880e+03	3.0000e+00	Ma	5.8	270.5	443	11.7	91	47.5318	-90.9329	8	8	0	7.9229	i		This study	Two Island River	SLB13	SLB13.1a:SLB13.2a:SLB13.3a:SLB13.4a:SLB13.5a:SLB13.6a:SLB13.7a:SLB13.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB13	mag	Site VGP, coord system = 100 component: hem	0	5.9	3.0	4.7	182.7	8
1.0880e+03	3.0000e+00	Ma	6.0	270.1	443	12.5	85	47.5318	-90.9329	8	8	0	7.9178	i		This study	Two Island River	SLB13	SLB13.1a:SLB13.2a:SLB13.3a:SLB13.4a:SLB13.5a:SLB13.6a:SLB13.7a:SLB13.8a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB13	hem	Site VGP, coord system = 100 component: hem	0	6.1	3.1	4.7	183.3	8
1.0880e+03	3.0000e+00	Ma	5.8	266.7	443	24.2	91	47.5318	-90.9329	8	8	0	7.9231	i		This study	Two Island River	SLB13	SLB13.1a:SLB13.2a:SLB13.3a:SLB13.4a:SLB13.5a:SLB13.6a:SLB13.7a:SLB13.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB13	mag	Site VGP, coord system = 100 component: hem	100	6.2	3.3	7.1	190.1	8
1.0880e+03	3.0000e+00	Ma	6.0	266.0	443	24.9	85	47.5318	-90.9329	8	8	0	7.9179	i		This study	Two Island River	SLB13	SLB13.1a:SLB13.2a:SLB13.3a:SLB13.4a:SLB13.5a:SLB13.6a:SLB13.7a:SLB13.8a	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB13	hem	Site VGP, coord system = 100 component: hem	100	6.4	3.5	6.9	190.9	8
1.0880e+03	3.0000e+00	Ma	2.4	268.5	443	10.7	462	47.5311	-90.9325	9	9	0	8.9827	i		This study	Two Island River	SLB14	SLB14.1a:SLB14.2a:SLB14.3a:SLB14.4a:SLB14.5a:SLB14.6a:SLB14.7a:SLB14.8a:SLB14.9a	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	pmagpy-3.4.1	ACCEPT	VGP Site: SLB14	mag	Site VGP, coord system = 100 component: hem	0	2.4	1.2	3.0	183.8	9
