,site,location,result_type,method_codes,citations,geologic_classes,geologic_types,lithologies,lat,lon,dir_tilt_correction,dir_dec,dir_inc,dir_alpha95,dir_k,dir_n_samples,dir_polarity,vgp_lat,vgp_lon,paleolatitude,vgp_lat_rev,vgp_lon_rev
15,K31,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,116.6,-62.8,4.6,393.1,4,r,47.10154529998601,199.99287532269705,-44.212873848617846,47.10154529998601,199.99287532269705
16,K33,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,105.5,-55.6,11.9,42.4,5,r,35.609674856647,197.1188022387566,-36.138099145920435,35.609674856647,197.1188022387566
17,K34,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,116.5,-55.3,14.0,44.0,4,r,42.60126314884237,190.00420309345816,-35.8327379675501,42.60126314884237,190.00420309345816
18,K35,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,128.1,-66.7,4.3,323.5,5,r,56.321067821667455,202.46183263664335,-49.260492668116356,56.321067821667455,202.46183263664335
19,K36,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,117.9,-54.6,8.3,85.2,5,r,43.119308114046326,188.31863778743178,-35.129005945102094,43.119308114046326,188.31863778743178
20,K37,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,114.7,-64.3,3.3,542.8,5,r,46.790309357646045,203.34464263202858,-46.093649680002336,46.790309357646045,203.34464263202858
21,K38,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,96.6,-49.9,12.7,32.3,5,r,26.428049866384363,197.77842397811594,-30.700531159989076,26.428049866384363,197.77842397811594
22,K39,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,127.1,-64.9,5.0,235.8,5,r,54.8811730636619,198.87556524023813,-46.86687467742401,54.8811730636619,198.87556524023813
23,K40,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,124.4,-59.2,5.6,188.6,5,r,50.08717034088171,190.14125021732332,-39.98850493809767,50.08717034088171,190.14125021732332
24,K42,Grand Portage,i,,This study,Extrusive,Lava Flow,Basalt,47.9,-89.7,100,76.2,-71.9,4.8,255.0,5,r,32.24566675101932,231.3774812530663,-56.8273242320542,32.24566675101932,231.3774812530663
