tab 	measurements
citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	location	magic_software_packages	magn_moment	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	method_codes	number	quality	sample	site	specimen	treat_ac_field	treat_dc_field	treat_temp
This study		2.6	342.7	-75.4	AP1-2a:LP-DIR-T	hargrave 2016-04-26 16:21:58	Agate Point	pmagpy-3.4.0	1.15E-05	1	4.71E-07	2.33E-07	1.81E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-2	AP1	AP1-2a	0	0	723
This study		1.8	344.9	-75.6	AP1-2a:LP-DIR-T	hargrave 2016-05-02 13:16:15	Agate Point	pmagpy-3.4.0	1.03E-05	1	2.89E-07	1.70E-07	9.52E-08	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-2	AP1	AP1-2a	0	0	748
This study		2.1	344.5	-75.4	AP1-2a:LP-DIR-T	hargrave 2016-05-02 19:39:14	Agate Point	pmagpy-3.4.0	9.37E-06	1	3.06E-07	1.78E-07	1.42E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-2	AP1	AP1-2a	0	0	773
This study		2	344.7	-75.2	AP1-2a:LP-DIR-T	hargrave 2016-05-03 18:32:12	Agate Point	pmagpy-3.4.0	8.37E-06	1	2.36E-07	1.87E-07	1.11E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-2	AP1	AP1-2a	0	0	798
This study		2.4	345.7	-75.6	AP1-2a:LP-DIR-T	hargrave 2016-05-12 14:12:45	Agate Point	pmagpy-3.4.0	7.03E-06	1	1.88E-07	2.37E-07	1.02E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-2	AP1	AP1-2a	0	0	823
This study		2	340.5	-75.8	AP1-2a:LP-DIR-T	hargrave 2016-05-16 11:53:32	Agate Point	pmagpy-3.4.0	5.84E-06	1	1.72E-07	1.16E-07	7.98E-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-2	AP1	AP1-2a	0	0	833
This study		2.3	341.3	-75.5	AP1-2a:LP-DIR-T	hargrave 2016-05-16 17:54:08	Agate Point	pmagpy-3.4.0	4.74E-06	1	1.76E-07	8.85E-08	6.95E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-2	AP1	AP1-2a	0	0	843
This study		1.8	340	-75.5	AP1-2a:LP-DIR-T	hargrave 2016-05-17 14:11:17	Agate Point	pmagpy-3.4.0	4.00E-06	1	1.04E-07	7.45E-08	5.31E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-2	AP1	AP1-2a	0	0	848
This study		1.6	342.9	-75.2	AP1-2a:LP-DIR-T	hargrave 2016-05-18 11:03:19	Agate Point	pmagpy-3.4.0	3.49E-06	1	7.37E-08	6.79E-08	4.10E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-2	AP1	AP1-2a	0	0	853
This study		2.4	308.1	-58.7	AP1-3a:LP-DIR-T	hargrave 2016-04-08 16:17:08	Agate Point	pmagpy-3.4.0	2.15E-05	1	8.41E-07	3.08E-07	2.40E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-3	AP1	AP1-3a	0	0	273
This study		2	309.8	-58.8	AP1-3a:LP-DIR-T	hargrave 2016-04-11 16:34:53	Agate Point	pmagpy-3.4.0	2.09E-05	1	6.74E-07	2.56E-07	2.31E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-3	AP1	AP1-3a	0	0	77
This study		2.7	309.4	-58.8	AP1-3a:LP-DIR-T	hargrave 2016-04-18 09:21:55	Agate Point	pmagpy-3.4.0	2.11E-05	1	8.94E-07	3.64E-07	2.20E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-3	AP1	AP1-3a	0	0	373
This study		1.9	311.8	-59.2	AP1-3a:LP-DIR-T	hargrave 2016-04-18 16:37:20	Agate Point	pmagpy-3.4.0	2.17E-05	1	6.38E-07	2.68E-07	2.39E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-3	AP1	AP1-3a	0	0	473
This study		2.6	313.6	-59.7	AP1-3a:LP-DIR-T	hargrave 2016-04-19 12:24:35	Agate Point	pmagpy-3.4.0	1.94E-05	1	8.10E-07	2.77E-07	2.44E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-3	AP1	AP1-3a	0	0	573
This study		2.2	313.7	-59.7	AP1-3a:LP-DIR-T	hargrave 2016-04-25 11:59:25	Agate Point	pmagpy-3.4.0	1.36E-05	1	4.53E-07	2.17E-07	1.91E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-3	AP1	AP1-3a	0	0	623
This study		3.5	314.4	-59.9	AP1-3a:LP-DIR-T	hargrave 2016-04-26 08:54:39	Agate Point	pmagpy-3.4.0	1.21E-05	1	6.30E-07	3.96E-07	1.53E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-3	AP1	AP1-3a	0	0	673
This study		2.5	312.8	-59.7	AP1-3a:LP-DIR-T	hargrave 2016-04-26 16:23:34	Agate Point	pmagpy-3.4.0	1.10E-05	1	4.11E-07	2.31E-07	1.35E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-3	AP1	AP1-3a	0	0	723
This study		1.6	316	-60.2	AP1-3a:LP-DIR-T	hargrave 2016-05-02 13:17:50	Agate Point	pmagpy-3.4.0	1.02E-05	1	1.76E-07	2.11E-07	1.06E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-3	AP1	AP1-3a	0	0	748
This study		1.9	315.7	-59.9	AP1-3a:LP-DIR-T	hargrave 2016-05-02 19:40:49	Agate Point	pmagpy-3.4.0	9.42E-06	1	2.76E-07	1.34E-07	1.31E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-3	AP1	AP1-3a	0	0	773
This study		1.6	316.6	-60	AP1-3a:LP-DIR-T	hargrave 2016-05-03 18:33:51	Agate Point	pmagpy-3.4.0	8.43E-06	1	1.71E-07	1.53E-07	9.69E-08	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-3	AP1	AP1-3a	0	0	798
This study		2	315.8	-60.1	AP1-3a:LP-DIR-T	hargrave 2016-05-12 14:14:20	Agate Point	pmagpy-3.4.0	7.07E-06	1	2.19E-07	1.05E-07	9.49E-08	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-3	AP1	AP1-3a	0	0	823
This study		2	315.9	-60	AP1-3a:LP-DIR-T	hargrave 2016-05-16 11:55:07	Agate Point	pmagpy-3.4.0	5.97E-06	1	1.77E-07	8.73E-08	8.31E-08	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-3	AP1	AP1-3a	0	0	833
This study		2.8	314.8	-60	AP1-3a:LP-DIR-T	hargrave 2016-05-16 17:55:43	Agate Point	pmagpy-3.4.0	5.02E-06	1	2.13E-07	1.11E-07	6.47E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-3	AP1	AP1-3a	0	0	843
This study		2.8	315.3	-59.9	AP1-3a:LP-DIR-T	hargrave 2016-05-17 14:12:51	Agate Point	pmagpy-3.4.0	4.36E-06	1	1.89E-07	1.01E-07	5.68E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-3	AP1	AP1-3a	0	0	848
This study		2.1	317.1	-60.1	AP1-3a:LP-DIR-T	hargrave 2016-05-18 11:05:45	Agate Point	pmagpy-3.4.0	3.96E-06	1	1.33E-07	6.18E-08	4.79E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-3	AP1	AP1-3a	0	0	853
This study		1.5	246.6	-78.2	AP1-4a:LP-DIR-T	hargrave 2016-04-08 16:18:40	Agate Point	pmagpy-3.4.0	2.98E-05	1	5.23E-07	5.84E-07	2.77E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-4	AP1	AP1-4a	0	0	273
This study		1.5	247.7	-78.2	AP1-4a:LP-DIR-T	hargrave 2016-04-11 16:36:24	Agate Point	pmagpy-3.4.0	2.88E-05	1	4.93E-07	5.83E-07	2.37E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-4	AP1	AP1-4a	0	0	77
This study		1.4	247.4	-78	AP1-4a:LP-DIR-T	hargrave 2016-04-18 09:23:09	Agate Point	pmagpy-3.4.0	2.89E-05	1	4.79E-07	5.20E-07	2.70E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-4	AP1	AP1-4a	0	0	373
This study		1.3	254.1	-78.4	AP1-4a:LP-DIR-T	hargrave 2016-04-18 16:38:34	Agate Point	pmagpy-3.4.0	2.96E-05	1	4.29E-07	4.70E-07	2.80E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-4	AP1	AP1-4a	0	0	473
This study		1.4	258.3	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-04-19 12:25:49	Agate Point	pmagpy-3.4.0	2.66E-05	1	4.48E-07	4.78E-07	2.16E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-4	AP1	AP1-4a	0	0	573
This study		1.8	257.8	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-04-25 12:00:57	Agate Point	pmagpy-3.4.0	1.86E-05	1	4.42E-07	3.97E-07	2.78E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-4	AP1	AP1-4a	0	0	623
This study		1.7	257.8	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-04-26 08:56:11	Agate Point	pmagpy-3.4.0	1.68E-05	1	3.60E-07	3.32E-07	2.55E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-4	AP1	AP1-4a	0	0	673
This study		1.8	258.2	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-04-26 16:25:08	Agate Point	pmagpy-3.4.0	1.54E-05	1	3.46E-07	3.11E-07	2.23E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-4	AP1	AP1-4a	0	0	723
This study		1.6	259.4	-78.5	AP1-4a:LP-DIR-T	hargrave 2016-05-02 13:19:22	Agate Point	pmagpy-3.4.0	1.42E-05	1	2.82E-07	2.66E-07	1.20E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-4	AP1	AP1-4a	0	0	748
This study		1.7	261.1	-78.6	AP1-4a:LP-DIR-T	hargrave 2016-05-02 19:42:20	Agate Point	pmagpy-3.4.0	1.32E-05	1	2.64E-07	2.65E-07	1.65E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-4	AP1	AP1-4a	0	0	773
This study		1.6	263.8	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-05-03 18:35:27	Agate Point	pmagpy-3.4.0	1.18E-05	1	2.26E-07	2.30E-07	1.43E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-4	AP1	AP1-4a	0	0	798
This study		1.6	259.2	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-05-12 14:15:52	Agate Point	pmagpy-3.4.0	9.90E-06	1	1.93E-07	1.79E-07	1.47E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-4	AP1	AP1-4a	0	0	823
This study		1.6	260.8	-78.7	AP1-4a:LP-DIR-T	hargrave 2016-05-16 11:56:43	Agate Point	pmagpy-3.4.0	8.14E-06	1	1.65E-07	1.55E-07	1.08E-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-4	AP1	AP1-4a	0	0	833
This study		1.7	259.6	-78.4	AP1-4a:LP-DIR-T	hargrave 2016-05-16 17:57:15	Agate Point	pmagpy-3.4.0	6.53E-06	1	1.53E-07	1.24E-07	9.45E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-4	AP1	AP1-4a	0	0	843
This study		1.7	259.9	-78.4	AP1-4a:LP-DIR-T	hargrave 2016-05-17 14:14:23	Agate Point	pmagpy-3.4.0	5.44E-06	1	1.22E-07	1.04E-07	7.76E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-4	AP1	AP1-4a	0	0	848
This study		1.6	262.4	-78.3	AP1-4a:LP-DIR-T	hargrave 2016-05-18 11:07:17	Agate Point	pmagpy-3.4.0	4.83E-06	1	9.62E-08	8.88E-08	5.94E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-4	AP1	AP1-4a	0	0	853
This study		1.9	309.6	-42.8	AP1-5a:LP-DIR-T	hargrave 2016-04-08 16:20:12	Agate Point	pmagpy-3.4.0	3.83E-05	1	6.28E-07	9.10E-07	6.70E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-5	AP1	AP1-5a	0	0	273
This study		3.4	309.9	-42.8	AP1-5a:LP-DIR-T	hargrave 2016-04-11 16:37:55	Agate Point	pmagpy-3.4.0	3.66E-05	1	1.36E-06	1.60E-06	7.51E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-5	AP1	AP1-5a	0	0	77
This study		1.7	312.9	-43.1	AP1-5a:LP-DIR-T	hargrave 2016-04-18 09:24:22	Agate Point	pmagpy-3.4.0	3.65E-05	1	6.27E-07	5.44E-07	7.77E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-5	AP1	AP1-5a	0	0	373
This study		1.8	315.8	-43.6	AP1-5a:LP-DIR-T	hargrave 2016-04-18 16:39:47	Agate Point	pmagpy-3.4.0	3.70E-05	1	5.44E-07	7.16E-07	7.96E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-5	AP1	AP1-5a	0	0	473
This study		1.8	316.1	-43.5	AP1-5a:LP-DIR-T	hargrave 2016-04-19 12:27:02	Agate Point	pmagpy-3.4.0	3.44E-05	1	4.27E-07	7.11E-07	7.68E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-5	AP1	AP1-5a	0	0	573
This study		2.1	315	-43.4	AP1-5a:LP-DIR-T	hargrave 2016-04-25 12:02:29	Agate Point	pmagpy-3.4.0	2.27E-05	1	3.96E-07	5.55E-07	5.55E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-5	AP1	AP1-5a	0	0	623
This study		2.4	318.8	-44	AP1-5a:LP-DIR-T	hargrave 2016-04-26 08:57:43	Agate Point	pmagpy-3.4.0	1.83E-05	1	5.99E-07	3.16E-07	3.90E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-5	AP1	AP1-5a	0	0	673
This study		3.5	314.7	-43.3	AP1-5a:LP-DIR-T	hargrave 2016-04-26 16:27:32	Agate Point	pmagpy-3.4.0	1.46E-05	1	4.56E-07	6.93E-07	3.48E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-5	AP1	AP1-5a	0	0	723
This study		2.2	315.3	-43.6	AP1-5a:LP-DIR-T	hargrave 2016-05-02 13:20:53	Agate Point	pmagpy-3.4.0	1.22E-05	1	3.23E-07	1.67E-07	3.13E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-5	AP1	AP1-5a	0	0	748
This study		2.1	318.2	-43.7	AP1-5a:LP-DIR-T	hargrave 2016-05-02 19:43:57	Agate Point	pmagpy-3.4.0	1.07E-05	1	2.98E-07	1.55E-07	2.28E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-5	AP1	AP1-5a	0	0	773
This study		2.1	318.6	-43.8	AP1-5a:LP-DIR-T	hargrave 2016-05-03 18:36:58	Agate Point	pmagpy-3.4.0	9.10E-06	1	2.58E-07	1.26E-07	1.88E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-5	AP1	AP1-5a	0	0	798
This study		1.9	316.9	-43.6	AP1-5a:LP-DIR-T	hargrave 2016-05-12 14:17:24	Agate Point	pmagpy-3.4.0	7.27E-06	1	1.28E-07	1.46E-07	1.68E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-5	AP1	AP1-5a	0	0	823
This study		1.9	317	-43.8	AP1-5a:LP-DIR-T	hargrave 2016-05-16 11:58:15	Agate Point	pmagpy-3.4.0	5.41E-06	1	1.10E-07	8.26E-08	1.23E-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-5	AP1	AP1-5a	0	0	833
This study		1.9	313.8	-43.8	AP1-5a:LP-DIR-T	hargrave 2016-05-16 17:58:47	Agate Point	pmagpy-3.4.0	3.55E-06	1	6.25E-08	7.68E-08	7.85E-08	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-5	AP1	AP1-5a	0	0	843
This study		2.5	316.6	-44.8	AP1-5a:LP-DIR-T	hargrave 2016-05-17 14:15:54	Agate Point	pmagpy-3.4.0	2.56E-06	1	5.34E-08	8.50E-08	5.83E-08	u	273	LT-T-Z:LP-DIR-T	15	g	AP1-5	AP1	AP1-5a	0	0	848
This study		2	315.6	-44.2	AP1-5a:LP-DIR-T	hargrave 2016-05-18 11:08:49	Agate Point	pmagpy-3.4.0	2.16E-06	1	3.86E-08	5.42E-08	4.36E-08	u	273	LT-T-Z:LP-DIR-T	16	g	AP1-5	AP1	AP1-5a	0	0	853
This study		3.1	316.2	-43	AP1-6a:LP-DIR-T	hargrave 2016-04-08 16:21:48	Agate Point	pmagpy-3.4.0	5.94E-05	1	2.51E-06	2.03E-06	6.41E-07	u	273	LT-NO:LP-DIR-T	1	g	AP1-6	AP1	AP1-6a	0	0	273
This study		3.8	315.2	-43.1	AP1-6a:LP-DIR-T	hargrave 2016-04-11 16:39:31	Agate Point	pmagpy-3.4.0	5.76E-05	1	2.69E-06	2.66E-06	5.08E-07	u	273	LT-LT-Z:LP-DIR-T	2	g	AP1-6	AP1	AP1-6a	0	0	77
This study		2.8	315.8	-42.9	AP1-6a:LP-DIR-T	hargrave 2016-04-18 09:25:40	Agate Point	pmagpy-3.4.0	5.76E-05	1	2.19E-06	1.71E-06	5.72E-07	u	273	LT-T-Z:LP-DIR-T	3	g	AP1-6	AP1	AP1-6a	0	0	373
This study		1.9	317.2	-42.8	AP1-6a:LP-DIR-T	hargrave 2016-04-18 16:41:04	Agate Point	pmagpy-3.4.0	5.90E-05	1	1.62E-06	1.14E-06	6.08E-07	u	273	LT-T-Z:LP-DIR-T	4	g	AP1-6	AP1	AP1-6a	0	0	473
This study		2.3	318.5	-42.8	AP1-6a:LP-DIR-T	hargrave 2016-04-19 12:28:19	Agate Point	pmagpy-3.4.0	5.81E-05	1	1.87E-06	1.46E-06	5.62E-07	u	273	LT-T-Z:LP-DIR-T	5	g	AP1-6	AP1	AP1-6a	0	0	573
This study		2	319.4	-42.7	AP1-6a:LP-DIR-T	hargrave 2016-04-25 12:04:05	Agate Point	pmagpy-3.4.0	4.66E-05	1	1.33E-06	7.82E-07	7.25E-07	u	273	LT-T-Z:LP-DIR-T	6	g	AP1-6	AP1	AP1-6a	0	0	623
This study		2	318.7	-43	AP1-6a:LP-DIR-T	hargrave 2016-04-26 08:59:19	Agate Point	pmagpy-3.4.0	4.06E-05	1	1.10E-06	7.47E-07	5.60E-07	u	273	LT-T-Z:LP-DIR-T	7	g	AP1-6	AP1	AP1-6a	0	0	673
This study		3	318.4	-42.8	AP1-6a:LP-DIR-T	hargrave 2016-04-26 16:29:09	Agate Point	pmagpy-3.4.0	3.54E-05	1	1.44E-06	1.12E-06	4.96E-07	u	273	LT-T-Z:LP-DIR-T	8	g	AP1-6	AP1	AP1-6a	0	0	723
This study		1.9	318.8	-42.9	AP1-6a:LP-DIR-T	hargrave 2016-05-02 13:22:33	Agate Point	pmagpy-3.4.0	3.13E-05	1	7.63E-07	7.01E-07	2.86E-07	u	273	LT-T-Z:LP-DIR-T	9	g	AP1-6	AP1	AP1-6a	0	0	748
This study		1.3	320.3	-42.9	AP1-6a:LP-DIR-T	hargrave 2016-05-02 19:45:33	Agate Point	pmagpy-3.4.0	2.79E-05	1	4.49E-07	3.70E-07	3.96E-07	u	273	LT-T-Z:LP-DIR-T	10	g	AP1-6	AP1	AP1-6a	0	0	773
This study		1.7	319.2	-42.7	AP1-6a:LP-DIR-T	hargrave 2016-05-03 18:38:34	Agate Point	pmagpy-3.4.0	2.34E-05	1	5.45E-07	3.91E-07	2.43E-07	u	273	LT-T-Z:LP-DIR-T	11	g	AP1-6	AP1	AP1-6a	0	0	798
This study		1.8	320	-42.8	AP1-6a:LP-DIR-T	hargrave 2016-05-12 14:19:00	Agate Point	pmagpy-3.4.0	1.74E-05	1	4.28E-07	2.88E-07	2.19E-07	u	273	LT-T-Z:LP-DIR-T	12	g	AP1-6	AP1	AP1-6a	0	0	823
This study		1.9	319.2	-42.7	AP1-6a:LP-DIR-T	hargrave 2016-05-16 11:59:52	Agate Point	pmagpy-3.4.0	1.30E-05	1	3.45E-07	2.21E-07	1.78E-07	u	273	LT-T-Z:LP-DIR-T	13	g	AP1-6	AP1	AP1-6a	0	0	833
This study		3.6	318.2	-42.6	AP1-6a:LP-DIR-T	hargrave 2016-05-16 18:00:23	Agate Point	pmagpy-3.4.0	1.00E-05	1	4.80E-07	4.08E-07	1.32E-07	u	273	LT-T-Z:LP-DIR-T	14	g	AP1-6	AP1	AP1-6a	0	0	843
